ID,X,Y,Channel,UF,Connected EDs
100018,11.35,19.79,0,0.51,5296
100002,7.08,8.98,1,0.39,4035
100011,5.03,9.65,2,0.32,3353
100004,35.46,4.93,3,0.49,5163
100000,-15.14,28.81,4,0.51,5289
100013,-2.89,-11.21,5,0.51,5348
100017,3.02,48.25,6,0.42,4426
100015,33.33,42.98,7,0.51,5337
100005,-22.91,6.20,8,0.51,5339
100006,45.70,5.27,9,0.30,3200
100019,-13.59,43.17,10,0.35,3650
100003,41.17,-7.07,11,0.36,3775
100012,-14.62,-14.74,12,0.51,5384
100010,25.65,-24.58,13,0.51,5360
100016,-27.48,-3.80,14,0.51,5307
100020,40.41,-24.68,15,0.51,5326
100014,-28.94,45.18,16,0.51,5334
100001,-40.76,-12.87,17,0.50,5180
100007,-25.80,-39.26,18,0.51,5253
100009,-47.43,-18.24,19,0.43,4494
100008,47.53,-46.20,20,0.39,4151
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3200,100003,7.96,7
1,29.84,41.16,16000,100015,3.93,7
2,-16.48,26.82,8000,100000,2.40,7
3,5.40,-2.26,4000,100002,11.37,7
4,-13.52,1.34,3200,100005,10.57,7
5,41.62,13.57,4000,100006,9.25,7
6,-35.84,10.70,16000,100005,13.69,7
7,-25.71,-36.28,3200,100007,2.99,7
8,-34.33,-9.91,16000,100001,7.08,7
9,-39.12,49.89,16000,100014,11.22,7
10,1.29,33.91,4000,100017,14.44,7
11,-20.40,13.76,4000,100005,7.96,7
12,-0.64,47.28,8000,100017,3.79,7
13,27.14,2.67,3200,100004,8.63,7
14,-9.98,39.15,8000,100019,5.40,7
15,-14.75,30.77,3200,100000,2.00,7
16,-43.02,44.93,4000,100014,14.09,7
17,-41.39,-30.78,4000,100009,13.91,7
18,39.02,-15.11,16000,100003,8.32,7
19,-48.00,-4.23,16000,100001,11.27,7
20,-26.17,47.06,3200,100014,3.35,7
21,35.09,-23.33,4000,100020,5.48,7
22,-12.48,26.02,4000,100000,3.85,7
23,16.77,3.16,16000,100002,11.31,7
24,-6.24,43.18,3200,100019,7.35,7
25,22.10,-21.57,4000,100010,4.66,7
26,14.00,-14.60,4000,100010,15.35,7
27,-33.40,-5.99,3200,100016,6.32,7
28,32.92,-16.97,16000,100010,10.53,7
29,39.34,-14.96,4000,100003,8.10,7
30,45.65,8.86,4000,100006,3.59,7
31,35.87,-6.04,3200,100003,5.41,7
32,-10.16,31.48,4000,100000,5.65,7
33,41.10,-1.75,16000,100003,5.32,7
34,45.03,42.01,16000,100015,11.74,7
35,38.11,14.11,8000,100004,9.55,7
36,11.96,-21.89,3200,100010,13.96,7
37,-19.25,-5.30,16000,100016,8.36,7
38,-31.25,-22.38,4000,100001,13.45,7
39,-8.35,-33.04,3200,100007,18.53,7
40,-39.68,-37.39,8000,100007,14.01,7
41,26.05,48.48,3200,100015,9.12,7
42,18.44,-11.68,4000,100010,14.78,7
43,-13.13,-20.58,16000,100012,6.03,7
44,8.45,-25.56,16000,100010,17.23,7
45,23.21,-37.45,3200,100010,13.10,7
46,-33.59,24.51,16000,100000,18.95,7
47,45.01,-44.75,4000,100008,2.90,7
48,-32.38,-25.99,3200,100007,14.81,7
49,23.27,15.66,3200,100018,12.61,7
50,13.95,25.97,16000,100018,6.71,7
51,-36.51,2.02,16000,100016,10.75,7
52,-43.01,-29.53,8000,100009,12.13,7
53,31.97,7.33,3200,100004,4.24,7
54,-44.81,-34.22,3200,100009,16.19,7
55,-29.57,39.00,16000,100014,6.21,7
56,49.78,-44.59,3200,100008,2.76,7
57,-42.77,-49.58,3200,100007,19.86,7
58,9.39,-31.96,16000,100010,17.86,7
59,-10.83,41.30,3200,100019,3.33,7
60,-14.09,5.25,4000,100005,8.87,7
61,-4.74,18.74,16000,100011,13.35,7
62,3.08,25.73,8000,100018,10.18,7
63,49.22,7.70,3200,100006,4.27,7
64,24.78,12.89,16000,100004,13.32,7
65,24.78,33.32,3200,100015,12.90,7
66,37.33,33.10,3200,100015,10.65,7
67,24.38,40.34,3200,100015,9.33,7
68,16.69,-0.27,16000,100002,13.34,7
69,33.00,38.89,16000,100015,4.10,7
70,14.97,-25.20,4000,100010,10.70,7
71,-27.09,20.06,8000,100005,14.48,7
72,-17.12,-26.86,16000,100012,12.37,7
73,13.31,-27.63,4000,100010,12.72,7
74,1.07,47.15,8000,100017,2.25,7
75,4.61,21.93,16000,100018,7.07,7
76,-2.85,9.25,3200,100011,7.89,7
77,-4.91,-16.36,3200,100013,5.53,7
78,-6.55,-49.68,8000,100007,21.89,7
79,9.85,33.32,16000,100018,13.62,7
80,17.55,-1.70,8000,100002,14.96,7
81,-19.50,21.21,16000,100000,8.77,7
82,12.18,-45.91,8000,100010,25.23,7
83,19.60,17.39,4000,100018,8.59,7
84,-15.29,-31.54,4000,100007,13.05,7
85,12.72,23.07,8000,100018,3.56,7
86,24.04,-29.78,3200,100010,5.44,7
87,18.48,15.31,8000,100018,8.42,7
88,3.24,-41.24,8000,100010,27.92,7
89,37.74,18.61,16000,100004,13.87,7
90,-38.87,-13.84,4000,100001,2.12,7
91,9.32,16.66,8000,100018,3.73,7
92,27.58,-21.16,8000,100010,3.92,7
93,-31.02,48.44,16000,100014,3.87,7
94,32.74,-16.85,16000,100010,10.49,7
95,-6.35,45.86,3200,100019,7.72,7
96,26.49,19.91,16000,100018,15.14,7
97,18.58,-11.62,3200,100010,14.77,7
98,44.31,41.63,3200,100015,11.06,7
99,-29.65,29.37,4000,100000,14.52,7
100,-20.27,40.49,3200,100019,7.20,7
101,37.40,-0.19,4000,100004,5.47,7
102,-33.72,-22.61,3200,100001,12.01,7
103,-0.76,-3.63,3200,100013,7.87,7
104,-0.40,-20.89,16000,100013,10.00,7
105,18.42,22.76,16000,100018,7.67,7
106,10.31,-0.76,3200,100002,10.26,7
107,22.43,-32.18,16000,100010,8.26,7
108,-0.15,-37.87,16000,100007,25.69,7
109,-13.96,-17.52,3200,100012,2.86,7
110,40.85,12.21,3200,100006,8.47,7
111,31.81,-0.39,8000,100004,6.45,7
112,-10.57,15.88,4000,100000,13.71,7
113,-24.11,-34.88,16000,100007,4.70,7
114,-39.22,14.72,8000,100005,18.40,7
115,-21.17,-16.86,16000,100012,6.89,7
116,-7.27,43.45,4000,100019,6.33,7
117,-23.45,15.87,3200,100005,9.69,7
118,-1.26,-34.27,3200,100013,23.12,7
