ID,X,Y,Channel,UF,Connected EDs
1001,15.16,-15.25,0,0.06,381
1000,5.83,31.62,1,0.06,370
1002,-42.50,-23.22,2,0.04,249
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3600,1001,19.44,7
1,29.84,41.16,3600,1000,25.84,7
2,-16.48,26.82,3600,1000,22.82,7
3,5.40,-2.26,3600,1001,16.25,7
4,-13.52,1.34,3600,1001,33.13,7
5,41.62,13.57,3600,1001,39.13,7
6,-35.84,10.70,3600,1002,34.56,7
7,-25.71,-36.28,3600,1002,21.27,7
8,-34.33,-9.91,3600,1002,15.62,7
9,-39.12,49.89,3600,1000,48.52,7
10,1.29,33.91,3600,1000,5.09,7
11,-20.40,13.76,3600,1000,31.74,7
12,-0.64,47.28,3600,1000,16.94,7
13,27.14,2.67,3600,1001,21.56,7
14,-9.98,39.15,3600,1000,17.51,7
15,-14.75,30.77,3600,1000,20.61,7
16,-43.02,44.93,3600,1000,50.64,7
17,-41.39,-30.78,3600,1002,7.64,7
18,39.02,-15.11,3600,1001,23.87,7
19,-48.00,-4.23,3600,1002,19.77,7
20,-26.17,47.06,3600,1000,35.54,7
21,35.09,-23.33,3600,1001,21.51,7
22,-12.48,26.02,3600,1000,19.15,7
23,16.77,3.16,3600,1001,18.48,7
24,-6.24,43.18,3600,1000,16.71,7
25,22.10,-21.57,3600,1001,9.39,7
26,14.00,-14.60,3600,1001,1.33,7
27,-33.40,-5.99,3600,1002,19.48,7
28,32.92,-16.97,3600,1001,17.85,7
29,39.34,-14.96,3600,1001,24.18,7
30,45.65,8.86,3600,1001,38.87,7
31,35.87,-6.04,3600,1001,22.66,7
32,-10.16,31.48,3600,1000,15.99,7
33,41.10,-1.75,3600,1001,29.24,7
34,45.03,42.01,3600,1000,40.55,7
35,38.11,14.11,3600,1000,36.72,7
36,11.96,-21.89,3600,1001,7.37,7
37,-19.25,-5.30,3600,1002,29.35,7
38,-31.25,-22.38,3600,1002,11.28,7
39,-8.35,-33.04,3600,1001,29.48,7
40,-39.68,-37.39,3600,1002,14.45,7
41,26.05,48.48,3600,1000,26.32,7
42,18.44,-11.68,3600,1001,4.85,7
43,-13.13,-20.58,3600,1001,28.79,7
44,8.45,-25.56,3600,1001,12.30,7
45,23.21,-37.45,3600,1001,23.62,7
46,-33.59,24.51,3600,1000,40.06,7
47,45.01,-44.75,3600,1001,41.97,7
48,-32.38,-25.99,3600,1002,10.49,7
49,23.27,15.66,3600,1000,23.64,7
50,13.95,25.97,3600,1000,9.88,7
51,-36.51,2.02,3600,1002,25.94,7
52,-43.01,-29.53,3600,1002,6.34,7
53,31.97,7.33,3600,1001,28.15,7
54,-44.81,-34.22,900,1002,11.24,7
55,-29.57,39.00,3600,1000,36.16,7
56,49.78,-44.59,3600,1001,45.39,7
57,-42.77,-49.58,3600,1002,26.37,7
58,9.39,-31.96,3600,1001,17.68,7
59,-10.83,41.30,3600,1000,19.27,7
60,-14.09,5.25,3600,1000,33.05,7
61,-4.74,18.74,3600,1000,16.67,7
62,3.08,25.73,3600,1000,6.50,7
63,49.22,7.70,3600,1001,41.07,7
64,24.78,12.89,3600,1000,26.64,7
65,24.78,33.32,3600,1000,19.02,7
66,37.33,33.10,1800,1000,31.53,7
67,24.38,40.34,900,1000,20.49,7
68,16.69,-0.27,3600,1001,15.05,7
69,33.00,38.89,3600,1000,28.12,7
70,14.97,-25.20,3600,1001,9.95,7
71,-27.09,20.06,3600,1000,34.89,7
72,-17.12,-26.86,3600,1002,25.64,7
73,13.31,-27.63,3600,1001,12.52,7
74,1.07,47.15,3600,1000,16.24,7
75,4.61,21.93,3600,1000,9.77,7
76,-2.85,9.25,3600,1000,23.99,7
77,-4.91,-16.36,3600,1001,20.10,7
78,-6.55,-49.68,3600,1001,40.70,7
79,9.85,33.32,3600,1000,4.36,7
80,17.55,-1.70,3600,1001,13.75,7
81,-19.50,21.21,3600,1000,27.39,7
82,12.18,-45.91,3600,1001,30.81,7
83,19.60,17.39,3600,1000,19.80,7
84,-15.29,-31.54,3600,1002,28.45,7
85,12.72,23.07,3600,1000,10.97,7
86,24.04,-29.78,3600,1001,17.03,7
87,18.48,15.31,3600,1000,20.63,7
88,3.24,-41.24,3600,1001,28.59,7
89,37.74,18.61,3600,1000,34.45,7
90,-38.87,-13.84,3600,1002,10.05,7
91,9.32,16.66,3600,1000,15.37,7
92,27.58,-21.16,3600,1001,13.76,7
93,-31.02,48.44,3600,1000,40.51,7
94,32.74,-16.85,3600,1001,17.66,7
95,-6.35,45.86,3600,1000,18.74,7
96,26.49,19.91,3600,1000,23.74,7
97,18.58,-11.62,3600,1001,4.99,7
98,44.31,41.63,3600,1000,39.75,7
99,-29.65,29.37,3600,1000,35.55,7
100,-20.27,40.49,3600,1000,27.57,7
101,37.40,-0.19,3600,1001,26.86,7
102,-33.72,-22.61,3600,1002,8.79,7
103,-0.76,-3.63,3600,1001,19.70,7
104,-0.40,-20.89,3600,1001,16.55,7
105,18.42,22.76,3600,1000,15.39,7
106,10.31,-0.76,3600,1001,15.28,7
107,22.43,-32.18,3600,1001,18.43,7
108,-0.15,-37.87,3600,1001,27.32,7
109,-13.96,-17.52,3600,1002,29.11,7
110,40.85,12.21,3600,1001,37.60,7
111,31.81,-0.39,3600,1001,22.32,7
112,-10.57,15.88,3600,1000,22.73,7
113,-24.11,-34.88,3600,1002,21.77,7
114,-39.22,14.72,3600,1002,38.08,7
115,-21.17,-16.86,3600,1002,22.25,7
116,-7.27,43.45,3600,1000,17.65,7
117,-23.45,15.87,3600,1000,33.25,7
118,-1.26,-34.27,3600,1001,25.13,7
119,12.57,1.77,3600,1001,17.22,7
120,5.76,-7.38,3600,1001,12.26,7
121,-10.56,-25.57,3600,1001,27.71,7
122,22.94,13.87,900,1000,24.65,7
123,-16.18,39.76,3600,1000,23.47,7
124,-8.92,-49.46,3600,1001,41.83,7
125,27.44,-20.63,3600,1001,13.41,7
126,36.55,22.10,3600,1000,32.16,7
127,-5.09,48.65,3600,1000,20.23,7
128,-28.91,-2.61,3600,1002,24.68,7
129,-40.61,-40.04,3600,1002,16.93,7
130,-19.82,15.71,3600,1000,30.19,7
131,-36.83,-44.85,3600,1002,22.36,7
132,-4.23,28.09,3600,1000,10.67,7
133,-5.74,-38.09,3600,1001,30.96,7
134,7.86,2.99,3600,1001,19.64,7
135,-13.81,-19.57,3600,1002,28.92,7
136,-2.34,-33.02,3600,1001,24.94,7
137,2.57,11.89,3600,1000,20.00,7
138,-26.63,32.98,3600,1000,32.50,7
139,-40.12,42.37,3600,1000,47.19,7
140,-1.83,-27.45,3600,1001,20.91,7
141,-20.92,-14.28,3600,1002,23.36,7
142,-15.57,31.49,3600,1000,21.41,7
143,-46.37,-24.25,3600,1002,4.01,7
144,12.60,33.61,3600,1000,7.05,7
145,-27.90,-30.20,3600,1002,16.18,7
146,-39.03,17.46,3600,1002,40.82,7
147,21.95,-29.96,3600,1001,16.21,7
148,-18.43,-6.60,3600,1002,29.24,7
149,-11.43,3.28,3600,1001,32.40,7
150,5.54,-48.54,3600,1001,34.65,7
151,-11.78,-19.46,3600,1001,27.27,7
152,-23.96,14.97,3600,1000,34.13,7
153,41.96,18.60,3600,1000,38.40,7
154,19.78,-18.80,3600,1001,5.84,7
155,-49.40,3.30,3600,1002,27.40,7
156,11.84,14.27,3600,1000,18.36,7
157,-9.93,-13.78,3600,1001,25.13,7
158,30.19,17.78,3600,1000,28.01,7
159,-46.71,-43.64,3600,1002,20.86,7
160,-31.24,11.90,3600,1002,36.87,7
161,6.78,-49.89,3600,1001,35.64,7
162,-19.48,-23.84,3600,1002,23.03,7
163,35.76,-31.88,3600,1001,26.48,7
164,16.73,37.90,3600,1000,12.58,7
165,-18.68,38.50,3600,1000,25.46,7
166,-34.29,0.35,3600,1002,24.95,7
167,17.57,40.42,3600,1000,14.66,7
168,-10.55,20.61,3600,1000,19.74,7
