ID,X,Y,Channel,UF,Connected EDs
1001,4.45,32.72,0,0.49,501
1000,3.14,-34.12,1,0.50,499
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,320,1000,38.84,7
1,29.84,41.16,1600,1001,26.76,7
2,-16.48,26.82,800,1001,21.74,7
3,5.40,-2.26,400,1000,31.94,7
4,-13.52,1.34,320,1001,36.16,7
5,41.62,13.57,400,1001,41.82,7
6,-35.84,10.70,1600,1001,45.91,7
7,-25.71,-36.28,320,1000,28.93,7
8,-34.33,-9.91,1600,1000,44.61,7
9,-39.12,49.89,1600,1001,46.83,7
10,1.29,33.91,400,1001,3.37,7
11,-20.40,13.76,400,1001,31.25,7
12,-0.64,47.28,800,1001,15.42,7
13,27.14,2.67,320,1001,37.65,7
14,-9.98,39.15,800,1001,15.79,7
15,-14.75,30.77,320,1001,19.30,7
16,-43.02,44.93,400,1001,49.02,7
17,-41.39,-30.78,400,1000,44.66,7
18,39.02,-15.11,1600,1000,40.61,7
19,-48.00,-4.23,1600,1000,59.23,7
20,-26.17,47.06,320,1001,33.81,7
21,35.09,-23.33,400,1000,33.73,7
22,-12.48,26.02,400,1001,18.20,7
23,16.77,3.16,1600,1001,32.03,7
24,-6.24,43.18,320,1001,14.95,7
25,22.10,-21.57,400,1000,22.73,7
26,14.00,-14.60,400,1000,22.34,7
27,-33.40,-5.99,320,1000,46.11,7
28,32.92,-16.97,1600,1000,34.37,7
29,39.34,-14.96,400,1000,40.95,7
30,45.65,8.86,400,1001,47.61,7
31,35.87,-6.04,320,1000,43.12,7
32,-10.16,31.48,400,1001,14.65,7
33,41.10,-1.75,1600,1000,49.88,7
34,45.03,42.01,1600,1001,41.63,7
35,38.11,14.11,800,1001,38.46,7
36,11.96,-21.89,320,1000,15.07,7
37,-19.25,-5.30,1600,1000,36.49,7
38,-31.25,-22.38,400,1000,36.33,7
39,-8.35,-33.04,320,1000,11.54,7
40,-39.68,-37.39,800,1000,42.94,7
41,26.05,48.48,320,1001,26.74,7
42,18.44,-11.68,400,1000,27.16,7
43,-13.13,-20.58,1600,1000,21.16,7
44,8.45,-25.56,1600,1000,10.07,7
45,23.21,-37.45,320,1000,20.35,7
46,-33.59,24.51,1600,1001,38.91,7
47,45.01,-44.75,400,1000,43.20,7
48,-32.38,-25.99,320,1000,36.43,7
49,23.27,15.66,320,1001,25.41,7
50,13.95,25.97,1600,1001,11.65,7
51,-36.51,2.02,1600,1001,51.18,7
