ID,X,Y,Channel,UF,Connected EDs
101,-10.77,0.75,0,0.01,54
100,23.27,-12.68,1,0.01,46
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3600,100,10.95,7
1,29.84,41.16,3600,100,54.24,7
2,-16.48,26.82,3600,101,26.69,7
3,5.40,-2.26,3600,101,16.45,7
4,-13.52,1.34,3600,101,2.81,7
5,41.62,13.57,3600,100,32.02,7
6,-35.84,10.70,3600,101,26.97,7
7,-25.71,-36.28,3600,101,39.93,7
8,-34.33,-9.91,3600,101,25.86,7
9,-39.12,49.89,3600,101,56.73,7
10,1.29,33.91,3600,101,35.29,7
11,-20.40,13.76,3600,101,16.18,7
12,-0.64,47.28,3600,101,47.62,7
13,27.14,2.67,3600,100,15.83,7
14,-9.98,39.15,3600,101,38.41,7
15,-14.75,30.77,3600,101,30.29,7
16,-43.02,44.93,3600,101,54.70,7
17,-41.39,-30.78,3600,101,43.95,7
18,39.02,-15.11,3600,100,15.94,7
19,-48.00,-4.23,3600,101,37.56,7
20,-26.17,47.06,3600,101,48.81,7
21,35.09,-23.33,3600,100,15.92,7
22,-12.48,26.02,3600,101,25.33,7
23,16.77,3.16,3600,100,17.12,7
24,-6.24,43.18,3600,101,42.68,7
25,22.10,-21.57,3600,100,8.97,7
26,14.00,-14.60,3600,100,9.47,7
27,-33.40,-5.99,3600,101,23.61,7
28,32.92,-16.97,3600,100,10.56,7
29,39.34,-14.96,3600,100,16.23,7
30,45.65,8.86,3600,100,31.06,7
31,35.87,-6.04,3600,100,14.24,7
32,-10.16,31.48,3600,101,30.73,7
33,41.10,-1.75,3600,100,20.91,7
34,45.03,42.01,3600,100,58.86,7
35,38.11,14.11,3600,100,30.62,7
36,11.96,-21.89,3600,100,14.59,7
37,-19.25,-5.30,3600,101,10.42,7
38,-31.25,-22.38,3600,101,30.89,7
39,-8.35,-33.04,3600,101,33.87,7
40,-39.68,-37.39,3600,101,47.86,7
41,26.05,48.48,3600,101,60.28,7
42,18.44,-11.68,3600,100,4.93,7
43,-13.13,-20.58,3600,101,21.46,7
44,8.45,-25.56,3600,100,19.64,7
45,23.21,-37.45,3600,100,24.78,7
46,-33.59,24.51,3600,101,32.94,7
47,45.01,-44.75,3600,100,38.74,7
48,-32.38,-25.99,3600,101,34.38,7
49,23.27,15.66,3600,100,28.33,7
50,13.95,25.97,3600,101,35.32,7
51,-36.51,2.02,3600,101,25.77,7
52,-43.01,-29.53,3600,101,44.23,7
53,31.97,7.33,3600,100,21.82,7
54,-44.81,-34.22,900,101,48.80,7
55,-29.57,39.00,3600,101,42.62,7
56,49.78,-44.59,3600,100,41.49,7
57,-42.77,-49.58,3600,101,59.64,7
58,9.39,-31.96,3600,100,23.76,7
59,-10.83,41.30,3600,101,40.55,7
60,-14.09,5.25,3600,101,5.59,7
61,-4.74,18.74,3600,101,18.97,7
62,3.08,25.73,3600,101,28.56,7
63,49.22,7.70,3600,100,32.99,7
64,24.78,12.89,3600,100,25.61,7
65,24.78,33.32,3600,100,46.02,7
66,37.33,33.10,1800,100,47.89,7
67,24.38,40.34,900,101,52.94,7
68,16.69,-0.27,3600,100,14.04,7
69,33.00,38.89,3600,100,52.48,7
70,14.97,-25.20,3600,100,15.02,7
71,-27.09,20.06,3600,101,25.28,7
72,-17.12,-26.86,3600,101,28.33,7
73,13.31,-27.63,3600,100,17.97,7
74,1.07,47.15,3600,101,47.89,7
75,4.61,21.93,3600,101,26.18,7
76,-2.85,9.25,3600,101,11.62,7
77,-4.91,-16.36,3600,101,18.09,7
78,-6.55,-49.68,3600,100,47.52,7
79,9.85,33.32,3600,101,38.55,7
80,17.55,-1.70,3600,100,12.37,7
81,-19.50,21.21,3600,101,22.25,7
82,12.18,-45.91,3600,100,35.04,7
83,19.60,17.39,3600,100,30.29,7
84,-15.29,-31.54,3600,101,32.60,7
85,12.72,23.07,3600,101,32.40,7
86,24.04,-29.78,3600,100,17.12,7
87,18.48,15.31,3600,100,28.40,7
88,3.24,-41.24,3600,100,34.88,7
89,37.74,18.61,3600,100,34.47,7
90,-38.87,-13.84,3600,101,31.66,7
91,9.32,16.66,3600,101,25.63,7
92,27.58,-21.16,3600,100,9.52,7
93,-31.02,48.44,3600,101,51.81,7
94,32.74,-16.85,3600,100,10.35,7
95,-6.35,45.86,3600,101,45.33,7
96,26.49,19.91,3600,100,32.74,7
97,18.58,-11.62,3600,100,4.81,7
98,44.31,41.63,3600,100,58.23,7
99,-29.65,29.37,3600,101,34.28,7
