ID,X,Y,Channel,UF,Connected EDs
20000,-32.37,29.72,0,0.50,5228
20003,-32.03,-33.80,1,0.48,5031
20001,32.83,33.27,2,0.47,4951
20002,35.26,-35.52,3,0.45,4790
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3200,20002,24.99,7
1,29.84,41.16,16000,20001,8.44,7
2,-16.48,26.82,8000,20000,16.15,7
3,5.40,-2.26,4000,20002,44.70,7
4,-13.52,1.34,3200,20000,34.07,7
5,41.62,13.57,4000,20001,21.57,7
6,-35.84,10.70,16000,20000,19.34,7
7,-25.71,-36.28,3200,20003,6.79,7
8,-34.33,-9.91,16000,20003,24.01,7
9,-39.12,49.89,16000,20000,21.27,7
10,1.29,33.91,4000,20001,31.54,7
11,-20.40,13.76,4000,20000,19.96,7
12,-0.64,47.28,8000,20000,36.26,7
13,27.14,2.67,3200,20001,31.12,7
14,-9.98,39.15,8000,20000,24.29,7
15,-14.75,30.77,3200,20000,17.64,7
16,-43.02,44.93,4000,20000,18.57,7
17,-41.39,-30.78,4000,20003,9.84,7
18,39.02,-15.11,16000,20002,20.76,7
19,-48.00,-4.23,16000,20003,33.61,7
20,-26.17,47.06,3200,20000,18.41,7
21,35.09,-23.33,4000,20002,12.19,7
22,-12.48,26.02,4000,20000,20.23,7
23,16.77,3.16,16000,20001,34.12,7
24,-6.24,43.18,3200,20000,29.39,7
25,22.10,-21.57,4000,20002,19.18,7
26,14.00,-14.60,4000,20002,29.83,7
27,-33.40,-5.99,3200,20003,27.85,7
28,32.92,-16.97,16000,20002,18.70,7
29,39.34,-14.96,4000,20002,20.96,7
30,45.65,8.86,4000,20001,27.57,7
31,35.87,-6.04,3200,20002,29.49,7
32,-10.16,31.48,4000,20000,22.28,7
33,41.10,-1.75,16000,20002,34.27,7
34,45.03,42.01,16000,20001,15.01,7
35,38.11,14.11,8000,20001,19.88,7
36,11.96,-21.89,3200,20002,26.99,7
37,-19.25,-5.30,16000,20003,31.24,7
38,-31.25,-22.38,4000,20003,11.45,7
39,-8.35,-33.04,3200,20003,23.69,7
40,-39.68,-37.39,8000,20003,8.45,7
41,26.05,48.48,3200,20001,16.65,7
42,18.44,-11.68,4000,20002,29.17,7
43,-13.13,-20.58,16000,20003,23.06,7
44,8.45,-25.56,16000,20002,28.60,7
45,23.21,-37.45,3200,20002,12.19,7
46,-33.59,24.51,16000,20000,5.36,7
47,45.01,-44.75,4000,20002,13.42,7
48,-32.38,-25.99,3200,20003,7.82,7
49,23.27,15.66,3200,20001,20.04,7
50,13.95,25.97,16000,20001,20.24,7
51,-36.51,2.02,16000,20000,28.01,7
52,-43.01,-29.53,8000,20003,11.78,7
