ID,X,Y,Channel,UF,Connected EDs
50010,17.03,41.64,0,0.50,3347
50011,21.52,25.95,1,0.45,2976
50006,36.24,12.16,2,0.51,3367
50007,10.08,14.89,3,0.51,3340
50005,-6.01,25.02,4,0.38,2513
50003,-14.18,44.63,5,0.50,3317
50015,44.45,-14.35,6,0.51,3425
50009,-21.89,12.00,7,0.48,3202
50013,-22.73,12.96,8,0.31,2087
50000,4.87,-23.14,9,0.51,3367
50014,-34.09,19.75,10,0.51,3331
50002,17.74,-29.21,11,0.51,3340
50008,-23.95,-6.82,12,0.51,3369
50004,7.19,-33.45,13,0.35,2318
50001,-3.69,-29.91,14,0.51,3352
50012,-2.10,-38.43,15,0.51,3349
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3600,50015,11.10,7
1,29.84,41.16,3600,50010,12.83,7
2,-16.48,26.82,3600,50005,10.62,7
3,5.40,-2.26,3600,50007,17.78,7
4,-13.52,1.34,3600,50008,13.24,7
5,41.62,13.57,3600,50006,5.56,7
6,-35.84,10.70,3600,50014,9.22,7
7,-25.71,-36.28,3600,50001,22.92,7
8,-34.33,-9.91,3600,50008,10.83,7
9,-39.12,49.89,3600,50003,25.48,7
10,1.29,33.91,3600,50005,11.50,7
11,-20.40,13.76,3600,50009,2.31,7
12,-0.64,47.28,3600,50003,13.80,7
13,27.14,2.67,3600,50006,13.15,7
14,-9.98,39.15,3600,50003,6.90,7
15,-14.75,30.77,3600,50005,10.47,7
16,-43.02,44.93,3600,50014,26.72,7
17,-41.39,-30.78,3600,50008,29.64,7
18,39.02,-15.11,3600,50015,5.48,7
19,-48.00,-4.23,3600,50008,24.19,7
20,-26.17,47.06,3600,50003,12.23,7
21,35.09,-23.33,3600,50015,12.97,7
22,-12.48,26.02,3600,50005,6.55,7
23,16.77,3.16,3600,50007,13.51,7
24,-6.24,43.18,3600,50003,8.08,7
25,22.10,-21.57,3600,50002,8.79,7
26,14.00,-14.60,3600,50000,12.51,7
27,-33.40,-5.99,3600,50008,9.49,7
28,32.92,-16.97,3600,50015,11.82,7
29,39.34,-14.96,3600,50015,5.15,7
30,45.65,8.86,3600,50006,9.96,7
31,35.87,-6.04,3600,50015,11.95,7
32,-10.16,31.48,3600,50005,7.67,7
33,41.10,-1.75,3600,50015,13.04,7
34,45.03,42.01,3600,50010,28.00,7
35,38.11,14.11,3600,50006,2.70,7
36,11.96,-21.89,3600,50000,7.20,7
37,-19.25,-5.30,3600,50008,4.93,7
38,-31.25,-22.38,3600,50008,17.19,7
39,-8.35,-33.04,3600,50001,5.61,7
40,-39.68,-37.39,3600,50008,34.39,7
41,26.05,48.48,3600,50010,11.32,7
42,18.44,-11.68,3600,50002,17.54,7
43,-13.13,-20.58,3600,50001,13.27,7
44,8.45,-25.56,3600,50000,4.32,7
45,23.21,-37.45,3600,50002,9.90,7
46,-33.59,24.51,3600,50014,4.78,7
47,45.01,-44.75,3600,50015,30.40,7
48,-32.38,-25.99,3600,50008,20.95,7
49,23.27,15.66,3600,50011,10.44,7
50,13.95,25.97,3600,50011,7.58,7
51,-36.51,2.02,3600,50008,15.36,7
52,-43.01,-29.53,3600,50008,29.66,7
53,31.97,7.33,3600,50006,6.45,7
54,-44.81,-34.22,900,50008,34.44,7
55,-29.57,39.00,3600,50003,16.38,7
56,49.78,-44.59,3600,50015,30.71,7
57,-42.77,-49.58,3600,50012,42.17,7
58,9.39,-31.96,3600,50004,2.65,7
59,-10.83,41.30,3600,50003,4.72,7
60,-14.09,5.25,3600,50009,10.32,7
61,-4.74,18.74,3600,50005,6.41,7
62,3.08,25.73,3600,50005,9.12,7
63,49.22,7.70,3600,50006,13.72,7
64,24.78,12.89,3600,50006,11.49,7
65,24.78,33.32,3600,50011,8.06,7
66,37.33,33.10,1800,50011,17.35,7
67,24.38,40.34,900,50010,7.47,7
68,16.69,-0.27,3600,50007,16.54,7
69,33.00,38.89,3600,50010,16.21,7
70,14.97,-25.20,3600,50002,4.87,7
71,-27.09,20.06,3600,50014,7.01,7
72,-17.12,-26.86,3600,50001,13.77,7
73,13.31,-27.63,3600,50002,4.70,7
74,1.07,47.15,3600,50003,15.46,7
75,4.61,21.93,3600,50007,8.91,7
76,-2.85,9.25,3600,50007,14.11,7
77,-4.91,-16.36,3600,50000,11.89,7
78,-6.55,-49.68,3600,50012,12.10,7
79,9.85,33.32,3600,50010,10.99,7
80,17.55,-1.70,3600,50007,18.20,7
81,-19.50,21.21,3600,50013,8.86,7
82,12.18,-45.91,3600,50004,13.43,7
83,19.60,17.39,3600,50011,8.77,7
84,-15.29,-31.54,3600,50001,11.71,7
85,12.72,23.07,3600,50007,8.60,7
86,24.04,-29.78,3600,50002,6.33,7
87,18.48,15.31,3600,50007,8.41,7
88,3.24,-41.24,3600,50012,6.04,7
89,37.74,18.61,3600,50006,6.63,7
90,-38.87,-13.84,3600,50008,16.49,7
91,9.32,16.66,3600,50007,1.92,7
92,27.58,-21.16,3600,50002,12.71,7
93,-31.02,48.44,3600,50003,17.27,7
94,32.74,-16.85,3600,50015,11.98,7
95,-6.35,45.86,3600,50003,7.93,7
96,26.49,19.91,3600,50011,7.82,7
97,18.58,-11.62,3600,50002,17.61,7
98,44.31,41.63,3600,50010,27.28,7
99,-29.65,29.37,3600,50014,10.59,7
100,-20.27,40.49,3600,50003,7.36,7
101,37.40,-0.19,3600,50006,12.40,7
