ID,X,Y,Channel,UF,Connected EDs
5000,-0.67,30.13,0,0.36,2418
5001,-1.02,-28.46,1,0.39,2582
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3600,5001,39.34,7
1,29.84,41.16,3600,5000,32.45,7
2,-16.48,26.82,3600,5000,16.15,7
3,5.40,-2.26,3600,5001,26.97,7
4,-13.52,1.34,3600,5000,31.53,7
5,41.62,13.57,3600,5000,45.42,7
6,-35.84,10.70,3600,5000,40.18,7
7,-25.71,-36.28,3600,5001,25.90,7
8,-34.33,-9.91,3600,5001,38.13,7
9,-39.12,49.89,3600,5000,43.23,7
10,1.29,33.91,3600,5000,4.26,7
11,-20.40,13.76,3600,5000,25.63,7
12,-0.64,47.28,3600,5000,17.15,7
13,27.14,2.67,3600,5000,39.08,7
14,-9.98,39.15,3600,5000,12.96,7
15,-14.75,30.77,3600,5000,14.10,7
16,-43.02,44.93,3600,5000,44.87,7
17,-41.39,-30.78,3600,5001,40.44,7
18,39.02,-15.11,3600,5001,42.21,7
19,-48.00,-4.23,3600,5001,52.86,7
20,-26.17,47.06,3600,5000,30.61,7
21,35.09,-23.33,3600,5001,36.47,7
22,-12.48,26.02,3600,5000,12.50,7
23,16.77,3.16,3600,5000,32.12,7
24,-6.24,43.18,3600,5000,14.19,7
25,22.10,-21.57,3600,5001,24.12,7
26,14.00,-14.60,3600,5001,20.43,7
27,-33.40,-5.99,3600,5001,39.42,7
28,32.92,-16.97,3600,5001,35.83,7
29,39.34,-14.96,3600,5001,42.55,7
30,45.65,8.86,3600,5000,50.97,7
31,35.87,-6.04,3600,5001,43.16,7
32,-10.16,31.48,3600,5000,9.58,7
33,41.10,-1.75,3600,5001,49.87,7
34,45.03,42.01,3600,5000,47.22,7
35,38.11,14.11,3600,5000,41.96,7
36,11.96,-21.89,3600,5001,14.54,7
37,-19.25,-5.30,3600,5001,29.48,7
38,-31.25,-22.38,3600,5001,30.84,7
39,-8.35,-33.04,3600,5001,8.65,7
40,-39.68,-37.39,3600,5001,39.69,7
41,26.05,48.48,3600,5000,32.41,7
42,18.44,-11.68,3600,5001,25.69,7
43,-13.13,-20.58,3600,5001,14.45,7
44,8.45,-25.56,3600,5001,9.90,7
45,23.21,-37.45,3600,5001,25.85,7
46,-33.59,24.51,3600,5000,33.39,7
47,45.01,-44.75,3600,5001,48.82,7
48,-32.38,-25.99,3600,5001,31.46,7
49,23.27,15.66,3600,5000,27.97,7
50,13.95,25.97,3600,5000,15.20,7
51,-36.51,2.02,3600,5000,45.54,7
52,-43.01,-29.53,3600,5001,42.01,7
53,31.97,7.33,3600,5000,39.81,7
54,-44.81,-34.22,900,5001,44.17,7
55,-29.57,39.00,3600,5000,30.22,7
56,49.78,-44.59,3600,5001,53.30,7
57,-42.77,-49.58,3600,5001,46.79,7
58,9.39,-31.96,3600,5001,10.98,7
59,-10.83,41.30,3600,5000,15.10,7
60,-14.09,5.25,3600,5000,28.27,7
61,-4.74,18.74,3600,5000,12.09,7
62,3.08,25.73,3600,5000,5.78,7
63,49.22,7.70,3600,5000,54.71,7
64,24.78,12.89,3600,5000,30.74,7
65,24.78,33.32,3600,5000,25.65,7
66,37.33,33.10,1800,5000,38.12,7
67,24.38,40.34,900,5000,27.05,7
68,16.69,-0.27,3600,5001,33.28,7
69,33.00,38.89,3600,5000,34.80,7
70,14.97,-25.20,3600,5001,16.32,7
71,-27.09,20.06,3600,5000,28.27,7
72,-17.12,-26.86,3600,5001,16.18,7
73,13.31,-27.63,3600,5001,14.35,7
74,1.07,47.15,3600,5000,17.11,7
75,4.61,21.93,3600,5000,9.76,7
76,-2.85,9.25,3600,5000,20.99,7
77,-4.91,-16.36,3600,5001,12.70,7
78,-6.55,-49.68,3600,5001,21.93,7
79,9.85,33.32,3600,5000,11.00,7
80,17.55,-1.70,3600,5001,32.56,7
81,-19.50,21.21,3600,5000,20.84,7
82,12.18,-45.91,3600,5001,21.89,7
83,19.60,17.39,3600,5000,23.94,7
84,-15.29,-31.54,3600,5001,14.60,7
85,12.72,23.07,3600,5000,15.13,7
86,24.04,-29.78,3600,5001,25.10,7
87,18.48,15.31,3600,5000,24.21,7
88,3.24,-41.24,3600,5001,13.47,7
