ID,X,Y,Channel,UF,Connected EDs
5008,-11.65,14.21,0,0.51,531
5001,-35.94,38.35,1,0.49,497
5006,5.85,38.50,2,0.48,522
5000,-33.37,-5.68,3,0.51,515
5005,9.15,-1.63,4,0.51,525
5009,21.72,-20.71,5,0.41,426
5002,42.85,45.38,6,0.42,431
5004,4.20,-34.84,7,0.51,528
5007,-38.64,-40.20,8,0.51,525
5003,38.07,-26.67,9,0.48,500
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,320,5009,15.95,7
1,29.84,41.16,1600,5002,13.68,7
2,-16.48,26.82,800,5008,13.51,7
3,5.40,-2.26,400,5005,3.81,7
4,-13.52,1.34,320,5008,13.00,7
5,41.62,13.57,400,5002,31.83,7
6,-35.84,10.70,1600,5000,16.57,7
7,-25.71,-36.28,320,5007,13.51,7
8,-34.33,-9.91,1600,5000,4.33,7
9,-39.12,49.89,1600,5001,11.97,7
10,1.29,33.91,400,5006,6.46,7
11,-20.40,13.76,400,5008,8.76,7
12,-0.64,47.28,800,5006,10.92,7
13,27.14,2.67,320,5005,18.49,7
14,-9.98,39.15,800,5006,15.84,7
15,-14.75,30.77,320,5008,16.85,7
16,-43.02,44.93,400,5001,9.67,7
17,-41.39,-30.78,400,5007,9.81,7
18,39.02,-15.11,1600,5003,11.60,7
19,-48.00,-4.23,1600,5000,14.70,7
20,-26.17,47.06,320,5001,13.09,7
21,35.09,-23.33,400,5003,4.47,7
22,-12.48,26.02,400,5008,11.84,7
23,16.77,3.16,1600,5005,9.00,7
24,-6.24,43.18,320,5006,12.96,7
25,22.10,-21.57,400,5009,0.94,7
26,14.00,-14.60,400,5009,9.85,7
27,-33.40,-5.99,320,5000,0.31,7
28,32.92,-16.97,1600,5003,10.98,7
29,39.34,-14.96,400,5003,11.77,7
30,45.65,8.86,400,5003,36.33,7
31,35.87,-6.04,320,5009,20.38,7
32,-10.16,31.48,400,5008,17.33,7
33,41.10,-1.75,1600,5003,25.10,7
34,45.03,42.01,1600,5002,4.01,7
35,38.11,14.11,800,5002,31.63,7
36,11.96,-21.89,320,5009,9.83,7
37,-19.25,-5.30,1600,5000,14.12,7
38,-31.25,-22.38,400,5000,16.83,7
39,-8.35,-33.04,320,5004,12.68,7
40,-39.68,-37.39,800,5007,2.99,7
41,26.05,48.48,320,5002,17.09,7
42,18.44,-11.68,400,5009,9.61,7
43,-13.13,-20.58,1600,5004,22.44,7
44,8.45,-25.56,1600,5004,10.21,7
45,23.21,-37.45,320,5009,16.81,7
46,-33.59,24.51,1600,5001,14.04,7
47,45.01,-44.75,400,5003,19.37,7
48,-32.38,-25.99,320,5007,15.52,7
49,23.27,15.66,320,5005,22.32,7
50,13.95,25.97,1600,5006,14.91,7
51,-36.51,2.02,1600,5000,8.32,7
52,-43.01,-29.53,800,5007,11.52,7
53,31.97,7.33,320,5005,24.51,7
54,-44.81,-34.22,320,5007,8.59,7
55,-29.57,39.00,1600,5001,6.40,7
56,49.78,-44.59,320,5003,21.41,7
57,-42.77,-49.58,320,5007,10.25,7
58,9.39,-31.96,1600,5004,5.94,7
59,-10.83,41.30,320,5006,16.91,7
60,-14.09,5.25,400,5008,9.29,7
61,-4.74,18.74,1600,5008,8.26,7
62,3.08,25.73,800,5006,13.06,7
63,49.22,7.70,320,5003,36.13,7
64,24.78,12.89,1600,5005,21.33,7
65,24.78,33.32,320,5006,19.63,7
66,37.33,33.10,320,5002,13.46,7
67,24.38,40.34,320,5006,18.62,7
68,16.69,-0.27,1600,5005,7.66,7
69,33.00,38.89,1600,5002,11.80,7
70,14.97,-25.20,400,5009,8.10,7
71,-27.09,20.06,800,5008,16.51,7
72,-17.12,-26.86,1600,5004,22.76,7
73,13.31,-27.63,400,5009,10.90,7
74,1.07,47.15,800,5006,9.88,7
75,4.61,21.93,1600,5006,16.62,7
76,-2.85,9.25,320,5008,10.10,7
77,-4.91,-16.36,320,5005,20.37,7
78,-6.55,-49.68,800,5004,18.32,7
79,9.85,33.32,1600,5006,6.54,7
80,17.55,-1.70,800,5005,8.40,7
81,-19.50,21.21,1600,5008,10.52,7
82,12.18,-45.91,800,5004,13.65,7
83,19.60,17.39,400,5005,21.70,7
84,-15.29,-31.54,400,5004,19.76,7
85,12.72,23.07,800,5006,16.88,7
86,24.04,-29.78,320,5009,9.36,7
87,18.48,15.31,800,5005,19.34,7
88,3.24,-41.24,800,5004,6.47,7
89,37.74,18.61,1600,5002,27.25,7
90,-38.87,-13.84,400,5000,9.84,7
91,9.32,16.66,800,5005,18.29,7
92,27.58,-21.16,800,5009,5.87,7
93,-31.02,48.44,1600,5001,11.22,7
94,32.74,-16.85,1600,5003,11.17,7
95,-6.35,45.86,320,5006,14.25,7
96,26.49,19.91,1600,5005,27.65,7
97,18.58,-11.62,320,5009,9.62,7
98,44.31,41.63,320,5002,4.02,7
99,-29.65,29.37,400,5001,10.97,7
100,-20.27,40.49,320,5001,15.81,7
101,37.40,-0.19,400,5009,25.83,7
102,-33.72,-22.61,320,5000,16.93,7
103,-0.76,-3.63,320,5005,10.11,7
104,-0.40,-20.89,1600,5004,14.68,7
105,18.42,22.76,1600,5006,20.14,7
106,10.31,-0.76,320,5005,1.45,7
107,22.43,-32.18,1600,5009,11.49,7
108,-0.15,-37.87,1600,5004,5.30,7
109,-13.96,-17.52,320,5000,22.74,7
110,40.85,12.21,320,5002,33.23,7
111,31.81,-0.39,800,5009,22.69,7
112,-10.57,15.88,400,5008,1.99,7
113,-24.11,-34.88,1600,5007,15.47,7
114,-39.22,14.72,800,5000,21.23,7
115,-21.17,-16.86,1600,5000,16.54,7
116,-7.27,43.45,400,5006,14.02,7
117,-23.45,15.87,320,5008,11.92,7
118,-1.26,-34.27,320,5004,5.48,7
119,12.57,1.77,1600,5005,4.82,7
120,5.76,-7.38,320,5005,6.68,7
121,-10.56,-25.57,800,5004,17.43,7
122,22.94,13.87,320,5005,20.74,7
123,-16.18,39.76,1600,5001,19.81,7
124,-8.92,-49.46,320,5004,19.64,7
125,27.44,-20.63,1600,5009,5.72,7
126,36.55,22.10,1600,5002,24.12,7
127,-5.09,48.65,400,5006,14.92,7
128,-28.91,-2.61,320,5000,5.41,7
129,-40.61,-40.04,800,5007,1.97,7
130,-19.82,15.71,320,5008,8.31,7
131,-36.83,-44.85,1600,5007,4.99,7
132,-4.23,28.09,400,5006,14.49,7
133,-5.74,-38.09,400,5004,10.46,7
134,7.86,2.99,400,5005,4.80,7
