ID,X,Y,Channel,UF,Connected EDs
501,-13.83,-30.53,0,0.02,168
500,-11.71,30.32,1,0.02,158
502,25.96,0.56,2,0.02,174
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3200,502,13.74,7
1,29.84,41.16,16000,502,40.79,7
2,-16.48,26.82,8000,500,5.91,7
3,5.40,-2.26,4000,502,20.76,7
4,-13.52,1.34,3200,500,29.03,7
5,41.62,13.57,4000,502,20.35,7
6,-35.84,10.70,16000,500,31.10,7
7,-25.71,-36.28,3200,501,13.20,7
8,-34.33,-9.91,16000,501,29.08,7
9,-39.12,49.89,16000,500,33.68,7
10,1.29,33.91,4000,500,13.49,7
11,-20.40,13.76,4000,500,18.70,7
12,-0.64,47.28,8000,500,20.25,7
13,27.14,2.67,3200,502,2.41,7
14,-9.98,39.15,8000,500,9.00,7
15,-14.75,30.77,3200,500,3.08,7
16,-43.02,44.93,4000,500,34.56,7
17,-41.39,-30.78,4000,501,27.56,7
18,39.02,-15.11,16000,502,20.40,7
19,-48.00,-4.23,16000,501,43.12,7
20,-26.17,47.06,3200,500,22.13,7
21,35.09,-23.33,4000,502,25.58,7
22,-12.48,26.02,4000,500,4.36,7
23,16.77,3.16,16000,502,9.55,7
24,-6.24,43.18,3200,500,13.98,7
25,22.10,-21.57,4000,502,22.47,7
26,14.00,-14.60,4000,502,19.31,7
27,-33.40,-5.99,3200,501,31.39,7
28,32.92,-16.97,16000,502,18.86,7
29,39.34,-14.96,4000,502,20.49,7
30,45.65,8.86,4000,502,21.36,7
31,35.87,-6.04,3200,502,11.91,7
32,-10.16,31.48,4000,500,1.93,7
33,41.10,-1.75,16000,502,15.31,7
34,45.03,42.01,16000,502,45.62,7
35,38.11,14.11,8000,502,18.19,7
36,11.96,-21.89,3200,502,26.47,7
37,-19.25,-5.30,16000,501,25.81,7
38,-31.25,-22.38,4000,501,19.23,7
39,-8.35,-33.04,3200,501,6.03,7
40,-39.68,-37.39,8000,501,26.75,7
41,26.05,48.48,3200,500,41.89,7
42,18.44,-11.68,4000,502,14.37,7
43,-13.13,-20.58,16000,501,9.97,7
44,8.45,-25.56,16000,501,22.83,7
45,23.21,-37.45,3200,501,37.69,7
46,-33.59,24.51,16000,500,22.64,7
47,45.01,-44.75,4000,502,49.15,7
48,-32.38,-25.99,3200,501,19.09,7
49,23.27,15.66,3200,502,15.33,7
50,13.95,25.97,16000,500,26.02,7
51,-36.51,2.02,16000,500,37.63,7
52,-43.01,-29.53,8000,501,29.19,7
53,31.97,7.33,3200,502,9.05,7
54,-44.81,-34.22,3200,501,31.19,7
55,-29.57,39.00,16000,500,19.86,7
56,49.78,-44.59,3200,502,51.05,7
57,-42.77,-49.58,3200,501,34.65,7
58,9.39,-31.96,16000,501,23.27,7
59,-10.83,41.30,3200,500,11.02,7
60,-14.09,5.25,4000,500,25.18,7
61,-4.74,18.74,16000,500,13.51,7
62,3.08,25.73,8000,500,15.48,7
63,49.22,7.70,3200,502,24.33,7
64,24.78,12.89,16000,502,12.38,7
65,24.78,33.32,3200,502,32.78,7
66,37.33,33.10,3200,502,34.47,7
67,24.38,40.34,3200,500,37.45,7
68,16.69,-0.27,16000,502,9.31,7
69,33.00,38.89,16000,502,38.97,7
70,14.97,-25.20,4000,502,28.01,7
71,-27.09,20.06,8000,500,18.49,7
72,-17.12,-26.86,16000,501,4.93,7
73,13.31,-27.63,4000,501,27.29,7
74,1.07,47.15,8000,500,21.13,7
75,4.61,21.93,16000,500,18.35,7
76,-2.85,9.25,3200,500,22.85,7
77,-4.91,-16.36,3200,501,16.74,7
78,-6.55,-49.68,8000,501,20.49,7
79,9.85,33.32,16000,500,21.76,7
80,17.55,-1.70,8000,502,8.72,7
81,-19.50,21.21,16000,500,11.99,7
82,12.18,-45.91,8000,501,30.22,7
83,19.60,17.39,4000,502,17.99,7
84,-15.29,-31.54,4000,501,1.77,7
85,12.72,23.07,8000,500,25.47,7
86,24.04,-29.78,3200,502,30.40,7
87,18.48,15.31,8000,502,16.54,7
88,3.24,-41.24,8000,501,20.15,7
89,37.74,18.61,16000,502,21.55,7
90,-38.87,-13.84,4000,501,30.09,7
91,9.32,16.66,8000,502,23.15,7
92,27.58,-21.16,8000,502,21.79,7
93,-31.02,48.44,16000,500,26.49,7
94,32.74,-16.85,16000,502,18.69,7
95,-6.35,45.86,3200,500,16.44,7
96,26.49,19.91,16000,502,19.35,7
97,18.58,-11.62,3200,502,14.24,7
98,44.31,41.63,3200,502,44.97,7
99,-29.65,29.37,4000,500,17.96,7
100,-20.27,40.49,3200,500,13.30,7
101,37.40,-0.19,4000,502,11.46,7
102,-33.72,-22.61,3200,501,21.41,7
103,-0.76,-3.63,3200,502,27.05,7
104,-0.40,-20.89,16000,501,16.53,7
105,18.42,22.76,16000,502,23.44,7
106,10.31,-0.76,3200,502,15.71,7
107,22.43,-32.18,16000,502,32.93,7
108,-0.15,-37.87,16000,501,15.53,7
109,-13.96,-17.52,3200,501,13.01,7
110,40.85,12.21,3200,502,18.90,7
111,31.81,-0.39,8000,502,5.93,7
112,-10.57,15.88,4000,500,14.48,7
113,-24.11,-34.88,16000,501,11.16,7
114,-39.22,14.72,8000,500,31.62,7
115,-21.17,-16.86,16000,501,15.51,7
116,-7.27,43.45,4000,500,13.86,7
117,-23.45,15.87,3200,500,18.62,7
118,-1.26,-34.27,3200,501,13.12,7
119,12.57,1.77,16000,502,13.45,7
120,5.76,-7.38,3200,502,21.71,7
121,-10.56,-25.57,8000,501,5.94,7
122,22.94,13.87,3200,502,13.64,7
123,-16.18,39.76,16000,500,10.44,7
124,-8.92,-49.46,3200,501,19.56,7
125,27.44,-20.63,16000,502,21.25,7
126,36.55,22.10,16000,502,24.00,7
127,-5.09,48.65,4000,500,19.49,7
128,-28.91,-2.61,3200,501,31.73,7
129,-40.61,-40.04,8000,501,28.42,7
130,-19.82,15.71,3200,500,16.71,7
131,-36.83,-44.85,16000,501,27.09,7
132,-4.23,28.09,4000,500,7.80,7
133,-5.74,-38.09,4000,501,11.07,7
134,7.86,2.99,4000,502,18.26,7
135,-13.81,-19.57,3200,501,10.96,7
136,-2.34,-33.02,4000,501,11.76,7
137,2.57,11.89,4000,500,23.31,7
138,-26.63,32.98,16000,500,15.16,7
139,-40.12,42.37,16000,500,30.86,7
140,-1.83,-27.45,3200,501,12.39,7
141,-20.92,-14.28,3200,501,17.73,7
142,-15.57,31.49,4000,500,4.04,7
143,-46.37,-24.25,3200,501,33.14,7
144,12.60,33.61,8000,500,24.52,7
145,-27.90,-30.20,4000,501,14.07,7
146,-39.03,17.46,3200,500,30.20,7
147,21.95,-29.96,8000,502,30.79,7
148,-18.43,-6.60,16000,501,24.37,7
149,-11.43,3.28,16000,500,27.04,7
150,5.54,-48.54,8000,501,26.45,7
151,-11.78,-19.46,4000,501,11.26,7
152,-23.96,14.97,4000,500,19.64,7
153,41.96,18.60,3200,502,24.11,7
154,19.78,-18.80,4000,502,20.33,7
155,-49.40,3.30,3200,500,46.38,7
156,11.84,14.27,4000,502,19.68,7
157,-9.93,-13.78,4000,501,17.19,7
158,30.19,17.78,16000,502,17.73,7
159,-46.71,-43.64,4000,501,35.40,7
160,-31.24,11.90,4000,500,26.85,7
161,6.78,-49.89,16000,501,28.28,7
162,-19.48,-23.84,4000,501,8.75,7
163,35.76,-31.88,8000,502,33.89,7
164,16.73,37.90,4000,500,29.43,7
165,-18.68,38.50,16000,500,10.75,7
166,-34.29,0.35,3200,501,37.04,7
167,17.57,40.42,16000,500,30.96,7
168,-10.55,20.61,3200,500,9.78,7
169,4.74,23.90,3200,500,17.66,7
170,-26.69,42.66,4000,500,19.41,7
171,43.34,-0.56,4000,502,17.42,7
172,43.91,29.96,3200,502,34.45,7
173,9.45,15.72,3200,502,22.41,7
174,43.59,-17.55,3200,502,25.27,7
175,8.92,13.78,3200,502,21.57,7
176,27.54,29.49,8000,502,28.97,7
177,10.44,-2.94,16000,502,15.92,7
178,29.55,36.51,3200,502,36.12,7
179,16.44,-8.75,4000,502,13.32,7
180,9.69,14.56,4000,502,21.46,7
181,-35.17,7.90,16000,500,32.45,7
182,20.09,1.82,3200,502,6.00,7
183,1.50,-38.74,8000,501,17.39,7
184,1.03,-45.15,3200,501,20.85,7
185,-11.53,13.77,8000,500,16.55,7
186,-35.60,-8.69,16000,501,30.83,7
187,-9.32,-48.25,4000,501,18.29,7
188,7.37,31.29,4000,500,19.10,7
189,-5.33,-2.26,3200,501,29.52,7
190,-44.13,-42.57,4000,501,32.60,7
191,9.73,-27.74,16000,501,23.72,7
192,13.02,42.35,4000,500,27.50,7
193,-3.71,-6.14,3200,501,26.40,7
194,45.27,44.89,3200,502,48.35,7
195,26.70,-16.64,4000,502,17.22,7
196,-28.09,-2.24,3200,501,31.67,7
197,-3.38,38.43,3200,500,11.62,7
198,-31.62,-4.20,3200,501,31.78,7
199,26.64,40.48,8000,500,39.67,7
200,26.16,46.35,8000,500,41.12,7
201,-9.76,6.08,4000,500,24.32,7
202,12.22,-30.90,8000,501,26.05,7
203,-13.99,15.39,3200,500,15.10,7
204,-28.93,10.65,3200,500,26.14,7
205,-39.02,-12.64,16000,501,30.89,7
206,14.65,9.27,4000,502,14.27,7
207,9.63,-44.11,4000,501,27.11,7
208,6.36,-25.74,16000,501,20.75,7
209,-15.62,-49.09,3200,501,18.65,7
210,10.14,27.07,3200,500,22.09,7
211,43.33,-32.69,8000,502,37.52,7
212,-1.23,29.52,4000,500,10.51,7
213,46.57,-34.47,8000,502,40.64,7
214,38.22,-13.40,3200,502,18.58,7
215,24.76,-2.42,8000,502,3.22,7
216,44.66,-37.77,3200,502,42.65,7
217,12.32,21.87,3200,502,25.30,7
218,-31.59,-21.77,16000,501,19.80,7
219,-29.70,12.61,16000,500,25.25,7
220,-37.33,-27.24,3200,501,23.73,7
221,-48.61,-33.92,16000,501,34.95,7
222,-3.82,14.85,3200,500,17.36,7
223,-39.91,11.42,16000,500,33.95,7
224,-10.63,-0.36,8000,501,30.34,7
225,-20.68,-25.59,3200,501,8.44,7
226,6.62,-30.93,16000,501,20.45,7
227,-6.82,31.39,3200,500,5.01,7
228,-14.36,49.80,16000,500,19.66,7
229,2.35,-29.91,4000,501,16.20,7
230,19.98,-17.24,3200,502,18.78,7
231,14.67,-15.85,16000,502,19.92,7
232,26.67,30.33,4000,502,29.78,7
233,18.19,40.42,8000,500,31.56,7
234,25.25,-20.21,3200,502,20.78,7
235,-31.09,9.11,16000,500,28.73,7
236,-39.85,-34.27,16000,501,26.29,7
237,-36.38,8.91,16000,500,32.67,7
238,38.96,44.55,16000,502,45.86,7
239,42.52,-3.09,8000,502,16.96,7
240,8.70,-33.12,4000,501,22.68,7
241,-2.36,31.55,3200,500,9.42,7
242,2.65,8.23,4000,502,24.54,7
243,-27.48,-23.58,4000,501,15.31,7
244,3.82,-48.33,3200,501,25.07,7
245,-15.25,-29.43,4000,501,1.79,7
246,-9.90,-19.28,4000,501,11.91,7
247,14.51,-5.67,8000,502,13.04,7
248,20.32,-16.71,16000,502,18.17,7
249,25.92,-24.19,4000,502,24.75,7
250,-48.38,34.51,3200,500,36.92,7
251,10.08,-17.85,4000,502,24.32,7
252,2.68,34.80,8000,500,15.07,7
253,-24.38,-42.68,4000,501,16.09,7
254,38.98,11.14,4000,502,16.77,7
255,32.13,45.90,4000,502,45.75,7
256,-15.60,-14.01,16000,501,16.62,7
257,-47.61,-49.49,8000,501,38.74,7
258,-20.71,20.83,3200,500,13.08,7
259,0.74,-3.25,16000,502,25.51,7
260,-30.90,-1.64,3200,501,33.56,7
261,-45.66,-41.56,16000,501,33.69,7
262,21.14,11.12,16000,502,11.61,7
263,46.16,36.75,16000,502,41.44,7
264,-2.41,25.73,3200,500,10.37,7
265,-49.30,7.86,4000,500,43.79,7
266,24.37,42.26,16000,500,38.00,7
267,28.76,44.64,16000,500,42.93,7
268,-22.51,-26.07,3200,501,9.76,7
269,-40.50,24.67,8000,500,29.34,7
270,-32.67,43.77,3200,500,24.91,7
271,-40.33,48.11,3200,500,33.70,7
272,-15.85,19.25,8000,500,11.82,7
273,-6.56,15.40,8000,500,15.78,7
274,10.05,-37.00,16000,501,24.74,7
275,-12.20,-36.30,4000,501,6.00,7
276,-38.55,38.07,4000,500,27.94,7
277,-28.91,16.83,4000,500,21.86,7
278,-18.77,44.32,3200,500,15.68,7
279,-37.79,-46.17,4000,501,28.61,7
280,-10.07,-28.84,8000,501,4.12,7
281,-33.98,-19.18,8000,501,23.13,7
282,-49.46,14.98,16000,500,40.75,7
283,-3.81,-41.58,3200,501,14.92,7
284,28.59,18.47,3200,502,18.10,7
285,36.72,-43.73,16000,502,45.58,7
286,2.71,-32.29,3200,501,16.63,7
287,-39.05,-11.20,4000,501,31.77,7
288,13.84,20.03,4000,502,22.93,7
289,-9.34,32.24,4000,500,3.05,7
290,42.16,-27.83,3200,502,32.68,7
291,-12.58,-11.81,16000,501,18.76,7
292,30.80,-11.27,4000,502,12.78,7
293,43.42,34.93,3200,502,38.54,7
294,21.44,13.52,4000,502,13.72,7
295,12.47,0.24,4000,502,13.50,7
296,17.18,-47.05,3200,501,35.14,7
297,9.97,-36.10,16000,501,24.45,7
298,-30.41,27.74,3200,500,18.88,7
299,23.53,-31.60,4000,502,32.25,7
300,-18.70,-39.44,3200,501,10.16,7
301,-39.78,-2.02,8000,501,38.55,7
302,-30.03,-21.23,4000,501,18.68,7
303,44.70,-27.81,4000,502,34.00,7
304,27.85,43.63,16000,500,41.73,7
305,-20.54,6.10,4000,500,25.78,7
306,37.34,-26.72,4000,502,29.56,7
307,12.94,33.26,3200,500,24.82,7
308,27.33,-47.15,4000,501,44.39,7
309,11.76,26.38,3200,500,23.79,7
310,-21.57,-42.32,3200,501,14.11,7
311,-32.73,-32.10,8000,501,18.96,7
312,-5.70,-12.13,4000,501,20.12,7
313,-39.93,-17.43,3200,501,29.20,7
314,10.76,-39.58,3200,501,26.21,7
315,24.97,-10.12,8000,502,10.73,7
316,-10.58,-22.78,4000,501,8.40,7
