ID,X,Y,Channel,UF,Connected EDs
51,7.66,21.20,0,0.00,20
52,37.65,-40.76,1,0.00,14
50,-36.77,20.18,2,0.00,16
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,3600,52,30.41,7
1,29.84,41.16,3600,51,29.84,7
2,-16.48,26.82,3600,50,21.35,7
3,5.40,-2.26,3600,51,23.57,7
4,-13.52,1.34,3600,51,29.04,7
5,41.62,13.57,3600,51,34.80,7
6,-35.84,10.70,3600,50,9.53,7
7,-25.71,-36.28,3600,50,57.53,7
8,-34.33,-9.91,3600,50,30.19,7
9,-39.12,49.89,3600,50,29.80,7
10,1.29,33.91,3600,51,14.22,7
11,-20.40,13.76,3600,50,17.59,7
12,-0.64,47.28,3600,51,27.37,7
13,27.14,2.67,3600,51,26.87,7
14,-9.98,39.15,3600,51,25.17,7
15,-14.75,30.77,3600,51,24.38,7
16,-43.02,44.93,3600,50,25.53,7
17,-41.39,-30.78,3600,50,51.17,7
18,39.02,-15.11,3600,52,25.68,7
19,-48.00,-4.23,3600,50,26.87,7
20,-26.17,47.06,3600,50,28.90,7
21,35.09,-23.33,3600,52,17.61,7
22,-12.48,26.02,3600,51,20.71,7
23,16.77,3.16,3600,51,20.21,7
24,-6.24,43.18,3600,51,26.01,7
25,22.10,-21.57,3600,52,24.70,7
26,14.00,-14.60,3600,52,35.27,7
27,-33.40,-5.99,3600,50,26.39,7
28,32.92,-16.97,3600,52,24.26,7
29,39.34,-14.96,3600,52,25.85,7
30,45.65,8.86,3600,51,39.93,7
31,35.87,-6.04,3600,52,34.76,7
32,-10.16,31.48,3600,51,20.57,7
33,41.10,-1.75,3600,52,39.16,7
34,45.03,42.01,3600,51,42.77,7
35,38.11,14.11,3600,51,31.26,7
36,11.96,-21.89,3600,52,31.87,7
37,-19.25,-5.30,3600,50,30.92,7
38,-31.25,-22.38,3600,50,42.92,7
39,-8.35,-33.04,3600,52,46.64,7
40,-39.68,-37.39,3600,50,57.65,7
41,26.05,48.48,3600,51,32.89,7
42,18.44,-11.68,3600,51,34.60,7
43,-13.13,-20.58,3600,51,46.67,7
44,8.45,-25.56,3600,52,32.92,7
45,23.21,-37.45,3600,52,14.81,7
46,-33.59,24.51,3600,50,5.37,7
47,45.01,-44.75,3600,52,8.37,7
48,-32.38,-25.99,3600,50,46.38,7
49,23.27,15.66,3600,51,16.56,7
