ID,X,Y,Channel,UF,Connected EDs
50,13.06,-7.83,0,0.04,33
51,-30.76,31.56,1,0.02,17
ID,X,Y,Period,GW ID,Dist. GW,SF
0,34.02,-10.56,320,50,21.14,7
1,29.84,41.16,1600,50,51.79,7
2,-16.48,26.82,800,51,15.05,7
3,5.40,-2.26,400,50,9.47,7
4,-13.52,1.34,320,50,28.12,7
5,41.62,13.57,400,50,35.69,7
6,-35.84,10.70,1600,51,21.47,7
7,-25.71,-36.28,320,50,48.09,7
8,-34.33,-9.91,1600,51,41.62,7
9,-39.12,49.89,1600,51,20.14,7
10,1.29,33.91,400,51,32.14,7
11,-20.40,13.76,400,51,20.61,7
12,-0.64,47.28,800,51,33.97,7
13,27.14,2.67,320,50,17.56,7
14,-9.98,39.15,800,51,22.13,7
15,-14.75,30.77,320,51,16.03,7
16,-43.02,44.93,400,51,18.14,7
17,-41.39,-30.78,400,50,59.09,7
18,39.02,-15.11,1600,50,26.97,7
19,-48.00,-4.23,1600,51,39.73,7
20,-26.17,47.06,320,51,16.17,7
21,35.09,-23.33,400,50,26.94,7
22,-12.48,26.02,400,51,19.10,7
23,16.77,3.16,1600,50,11.60,7
24,-6.24,43.18,320,51,27.14,7
25,22.10,-21.57,400,50,16.45,7
26,14.00,-14.60,400,50,6.83,7
27,-33.40,-5.99,320,51,37.65,7
28,32.92,-16.97,1600,50,21.86,7
29,39.34,-14.96,400,50,27.23,7
30,45.65,8.86,400,50,36.62,7
31,35.87,-6.04,320,50,22.88,7
32,-10.16,31.48,400,51,20.61,7
33,41.10,-1.75,1600,50,28.69,7
34,45.03,42.01,1600,50,59.21,7
35,38.11,14.11,800,50,33.30,7
36,11.96,-21.89,320,50,14.11,7
37,-19.25,-5.30,1600,50,32.41,7
38,-31.25,-22.38,400,50,46.63,7
39,-8.35,-33.04,320,50,33.07,7
40,-39.68,-37.39,800,50,60.46,7
41,26.05,48.48,320,50,57.78,7
42,18.44,-11.68,400,50,6.62,7
43,-13.13,-20.58,1600,50,29.13,7
44,8.45,-25.56,1600,50,18.32,7
45,23.21,-37.45,320,50,31.32,7
46,-33.59,24.51,1600,51,7.60,7
47,45.01,-44.75,400,50,48.83,7
48,-32.38,-25.99,320,50,48.93,7
49,23.27,15.66,320,50,25.61,7
