GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs (Discr.),None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.09,20,2,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.08,20,2,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.07,20,2,Max. coverage
Springs (Discr.),None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.07,21,2,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.07,21,2,Max. coverage
Springs (Discr.),None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.08,22,2,Max. coverage
Springs (Discr.),None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.09,28,2,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.07,28,2,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.09,21,2,Max. coverage
Springs (Discr.),None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.09,20,2,Max. coverage
Springs (Discr.),None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.08,20,2,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.07,21,2,Max. coverage
Greedy,None,Uniform,Hard,100,1000,0.10,12,2,2,0,100.00,0.18,84,1,Max. iterations
Greedy,None,Uniform,Hard,100,1000,0.10,12,2,2,0,100.00,0.18,85,1,Max. iterations
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.06,21,2,Max. coverage
Springs (Discr.),None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.08,20,2,Max. coverage
Springs (Discr.),None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.09,28,2,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.08,27,2,Max. coverage
Random Comb.,None,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.07,21,2,Max. coverage
