GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,200,0.02,12,1,1,0,100.00,0.01,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,200,0.02,12,1,1,0,100.00,0.01,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,200,0.02,12,1,1,0,100.00,0.01,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,200,0.02,12,1,1,0,100.00,0.01,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,500,0.05,12,1,1,0,100.00,0.02,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,500,0.05,12,1,1,0,100.00,0.02,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,500,0.05,12,1,1,0,100.00,0.02,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,500,0.05,12,1,1,0,100.00,0.02,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.03,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.03,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.03,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.07,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.07,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.07,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.07,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.19,2,0,Max. coverage
Springs,EDF,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.19,2,0,Max. coverage
Springs,EDF,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.17,2,0,Max. coverage
Springs,EDF,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.16,2,0,Max. coverage
Springs,EDF,Uniform,Soft,100,10000,1.00,12,1,1,0,100.00,0.70,4,0,Max. coverage
Springs,EDF,Uniform,Soft,100,10000,1.00,12,1,1,0,100.00,0.70,4,0,Max. coverage
Springs,EDF,Uniform,Soft,100,10000,1.00,12,1,1,0,100.00,0.70,4,0,Max. coverage
Springs,EDF,Uniform,Soft,100,10000,1.00,12,1,1,0,100.00,0.70,5,0,Max. coverage
Springs,EDF,Uniform,Soft,100,20000,2.00,12,2,2,0,100.00,0.79,145,12,Max. coverage
Springs,EDF,Uniform,Soft,100,20000,2.00,12,2,2,0,100.00,0.79,142,12,Max. coverage
Springs,EDF,Uniform,Soft,100,20000,2.00,12,2,2,0,100.00,0.79,149,12,Max. coverage
Springs,EDF,Uniform,Soft,100,20000,2.00,12,2,2,0,100.00,0.79,145,12,Max. coverage
Springs,EDF,Uniform,Soft,100,50000,5.00,12,5,5,0,100.00,0.88,2279,48,Max. coverage
Springs,EDF,Uniform,Soft,100,50000,5.00,12,5,5,0,100.00,0.88,2289,49,Max. coverage
Springs,EDF,Uniform,Soft,100,50000,5.00,12,5,5,0,100.00,0.88,2293,48,Max. coverage
Springs,EDF,Uniform,Soft,100,50000,5.00,12,5,5,0,100.00,0.88,2298,49,Max. coverage
Springs,EDF,Uniform,Soft,100,100000,10.00,12,10,10,0,100.00,0.88,12809,60,Max. coverage
Random,EDF,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,100000,10.00,12,10,10,0,100.00,0.87,12773,60,Max. coverage
Random,EDF,Uniform,Soft,100,200,0.02,12,1,1,0,100.00,0.01,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.01,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,200,0.02,12,1,1,0,100.00,0.01,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,500,0.05,12,1,1,0,100.00,0.02,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,500,0.05,12,1,1,0,100.00,0.03,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,100000,10.00,12,10,10,0,100.00,0.92,12894,60,Max. coverage
Random,EDF,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,200,0.02,12,1,1,0,100.00,0.01,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,500,0.05,12,1,1,0,100.00,0.02,0,0,Max. coverage
Springs,EDF,Uniform,Soft,100,100000,10.00,12,10,10,0,100.00,0.90,12949,60,Max. coverage
Random,EDF,Uniform,Soft,100,100,0.01,12,1,1,0,100.00,0.00,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,200,0.02,12,1,1,0,100.00,0.01,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.04,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,500,0.05,12,1,1,0,100.00,0.02,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.08,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.08,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,1000,0.10,12,1,1,0,100.00,0.05,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.09,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,2000,0.20,12,1,1,0,100.00,0.07,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.23,2,0,Max. coverage
Random,EDF,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.18,2,0,Max. coverage
Random,EDF,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.18,2,0,Max. coverage
Random,EDF,Uniform,Soft,100,5000,0.50,12,1,1,0,100.00,0.21,2,0,Max. coverage
Random,EDF,Uniform,Soft,100,10000,1.00,12,1,1,0,100.00,0.70,4,0,Max. coverage
Random,EDF,Uniform,Soft,100,10000,1.00,12,1,1,0,100.00,0.70,7,0,Max. coverage
Random,EDF,Uniform,Soft,100,10000,1.00,12,1,1,0,100.00,0.70,4,0,Max. coverage
Random,EDF,Uniform,Soft,100,10000,1.00,12,1,1,0,100.00,0.70,4,0,Max. coverage
Random,EDF,Uniform,Soft,100,20000,2.00,12,2,2,0,100.00,0.79,220,12,Max. coverage
Random,EDF,Uniform,Soft,100,20000,2.00,12,2,2,0,100.00,0.79,226,13,Max. coverage
Random,EDF,Uniform,Soft,100,20000,2.00,12,2,2,0,100.00,0.79,214,13,Max. coverage
Random,EDF,Uniform,Soft,100,20000,2.00,12,2,2,0,100.00,0.79,222,12,Max. coverage
Random,EDF,Uniform,Soft,100,50000,5.00,12,5,5,0,100.00,0.88,3505,48,Max. coverage
Random,EDF,Uniform,Soft,100,50000,5.00,12,5,5,0,100.00,0.88,3686,48,Max. coverage
Random,EDF,Uniform,Soft,100,50000,5.00,12,5,5,0,100.00,0.88,3560,48,Max. coverage
Random,EDF,Uniform,Soft,100,50000,5.00,12,5,5,0,100.00,0.88,3796,48,Max. coverage
Random,EDF,Uniform,Soft,100,100000,10.00,12,10,10,0,100.00,0.92,21531,60,Max. coverage
Springs,EDF,Uniform,Medium,100,100,0.01,12,1,1,0,100.00,0.01,0,0,Max. coverage
Springs,EDF,Uniform,Medium,100,200,0.02,12,1,1,0,100.00,0.01,0,0,Max. coverage
Springs,EDF,Uniform,Medium,100,500,0.05,12,1,1,0,100.00,0.03,0,0,Max. coverage
Springs,EDF,Uniform,Medium,100,1000,0.10,12,1,1,0,100.00,0.08,0,0,Max. coverage
Springs,EDF,Uniform,Medium,100,2000,0.20,12,1,1,0,100.00,0.15,0,0,Max. coverage
Random,EDF,Uniform,Soft,100,100000,10.00,12,10,10,0,100.00,0.85,21401,60,Max. coverage
