ID,X,Y,Channel,UF,Connected EDs
6502,-223.33,306.13,0,0.20,2153
6501,-252.51,-191.69,1,0.21,2184
6500,312.66,-120.25,2,0.21,2163
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,6500,31.17,7
1,298.44,411.65,16000,6500,532.09,11
2,-164.78,268.23,8000,6502,69.75,8
3,53.97,-22.60,4000,6500,276.51,10
4,-135.22,13.40,3200,6501,236.26,9
5,416.20,135.71,4000,6500,276.10,10
6,-358.40,106.97,16000,6502,240.64,9
7,-257.11,-362.77,3200,6501,171.14,9
8,-343.32,-99.06,16000,6501,129.72,9
9,-391.19,498.92,16000,6502,255.63,10
10,12.93,339.11,4000,6502,238.56,9
11,-203.97,137.55,4000,6502,169.68,9
12,-6.42,472.78,8000,6502,273.54,10
13,271.36,26.74,3200,6500,152.69,9
14,-99.77,391.53,8000,6502,150.20,9
15,-147.54,307.72,3200,6502,75.81,8
16,-430.24,449.33,4000,6502,251.63,10
17,-413.94,-307.79,4000,6501,198.85,9
18,390.23,-151.11,16000,6500,83.48,8
19,-479.98,-42.30,16000,6501,272.14,10
20,-261.72,470.63,3200,6502,168.93,9
21,350.92,-233.33,4000,6500,119.38,8
22,-124.79,260.25,4000,6502,108.70,8
23,167.72,31.61,16000,6500,209.92,9
24,-62.36,431.84,3200,6502,204.24,9
25,220.95,-215.71,4000,6500,132.38,9
26,139.98,-145.95,4000,6500,174.59,9
27,-334.03,-59.90,3200,6501,154.97,9
28,329.20,-169.66,16000,6500,52.11,7
29,393.37,-149.64,4000,6500,85.89,8
30,456.47,88.64,4000,6500,253.60,10
31,358.68,-60.44,3200,6500,75.46,8
32,-101.56,314.77,4000,6502,122.08,8
33,410.97,-17.51,16000,6500,142.20,9
34,450.25,420.13,16000,6500,557.62,11
35,381.06,141.08,8000,6500,270.13,10
36,119.60,-218.94,3200,6500,216.83,9
37,-192.54,-52.97,16000,6501,151.13,9
38,-312.47,-223.77,4000,6501,68.00,8
39,-83.50,-330.39,3200,6501,218.64,9
40,-396.83,-373.92,8000,6501,232.46,9
41,260.48,484.75,3200,6502,515.73,11
42,184.45,-116.81,4000,6500,128.26,9
43,-131.34,-205.84,16000,6501,121.99,8
44,84.49,-255.59,16000,6500,265.29,10
45,232.15,-374.53,3200,6500,266.72,10
46,-335.90,245.07,16000,6502,128.06,9
47,450.10,-447.47,4000,6500,354.92,10
48,-323.79,-259.94,3200,6501,98.69,8
49,232.65,156.56,3200,6500,288.14,10
50,139.46,259.73,16000,6502,365.74,10
51,-365.10,20.21,16000,6501,239.95,9
52,-430.09,-295.34,8000,6501,205.62,9
