ID,X,Y,Channel,UF,Connected EDs
10113,242.51,27.67,0,0.26,251
10114,408.35,-405.43,1,0.33,339
10115,-365.01,-400.09,1,0.12,128
10116,-84.62,243.21,1,0.32,335
10117,-256.41,409.56,2,0.30,313
10118,209.70,-159.36,2,0.36,387
10119,399.21,-231.10,3,0.33,347
10120,233.07,-391.17,4,0.28,298
10121,-405.71,176.94,3,0.22,214
10122,-3.92,-425.32,5,0.19,189
10123,385.66,65.89,5,0.24,243
10124,-185.36,-50.22,4,0.22,230
10125,-381.04,-266.35,2,0.21,221
10126,-230.44,197.89,5,0.30,314
10127,202.04,276.32,3,0.26,285
10128,-163.76,-263.97,3,0.26,278
10129,-408.48,420.63,4,0.24,261
10130,24.07,-193.18,6,0.33,344
10131,391.27,211.50,4,0.26,266
10132,339.79,430.89,2,0.25,264
10133,106.98,452.58,6,0.24,245
10134,-127.20,469.46,7,0.16,175
10135,-196.05,-425.68,7,0.26,267
10136,-433.18,-9.33,8,0.19,200
10137,59.98,127.79,8,0.28,300
10138,59.15,-33.93,9,0.22,233
10139,2.88,353.76,10,0.28,297
10140,387.75,-71.09,7,0.28,298
10141,-337.81,-106.44,10,0.18,184
10142,446.52,383.32,1,0.23,233
10143,-248.27,-181.55,11,0.18,196
10144,-441.54,-190.52,9,0.15,148
10145,-318.62,61.76,12,0.24,257
10146,127.21,-382.22,8,0.21,222
10147,-84.14,-0.25,13,0.21,230
10148,-444.44,-424.17,6,0.15,161
10149,-12.26,7.65,14,0.12,133
10150,-426.86,267.69,0,0.18,186
10151,0.64,-353.30,12,0.18,182
10152,-342.57,-441.88,0,0.12,128
10153,258.34,159.26,11,0.21,218
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,320,10140,58.77,7
1,298.44,411.65,1600,10132,45.61,7
2,-164.78,268.23,800,10116,83.97,8
3,53.97,-22.60,400,10138,12.45,7
4,-135.22,13.40,320,10147,52.87,7
5,416.20,135.71,400,10123,76.20,8
6,-358.40,106.97,1600,10145,60.22,7
7,-257.11,-362.77,320,10135,87.67,8
8,-343.32,-99.06,1600,10141,9.21,7
9,-391.19,498.92,1600,10129,80.18,8
10,12.93,339.11,400,10139,17.77,7
11,-203.97,137.55,400,10126,65.89,8
12,-6.42,472.78,800,10133,115.18,8
13,271.36,26.74,320,10113,28.86,7
14,-99.77,391.53,800,10134,82.62,8
15,-147.54,307.72,320,10116,90.11,8
16,-430.24,449.33,400,10129,36.01,7
17,-413.94,-307.79,400,10125,52.91,7
18,390.23,-151.11,1600,10140,80.06,8
19,-479.98,-42.30,1600,10136,57.24,7
20,-261.72,470.63,320,10117,61.30,7
21,350.92,-233.33,400,10119,48.34,7
22,-124.79,260.25,400,10116,43.63,7
23,167.72,31.61,1600,10113,74.89,8
24,-62.36,431.84,320,10134,74.97,8
25,220.95,-215.71,400,10118,57.46,7
26,139.98,-145.95,400,10118,71.00,8
27,-334.03,-59.90,320,10141,46.69,7
28,329.20,-169.66,1600,10119,93.14,8
29,393.37,-149.64,400,10140,78.75,8
30,456.47,88.64,400,10123,74.37,8
31,358.68,-60.44,320,10140,30.96,7
32,-101.56,314.77,400,10116,73.53,8
33,410.97,-17.51,1600,10140,58.40,7
34,450.25,420.13,1600,10142,37.00,7
35,381.06,141.08,800,10131,71.16,8
36,119.60,-218.94,320,10130,98.93,8
37,-192.54,-52.97,1600,10124,7.69,7
38,-312.47,-223.77,400,10143,76.83,8
39,-83.50,-330.39,320,10151,87.20,8
40,-396.83,-373.92,800,10115,41.19,7
