ID,X,Y,Channel,UF,Connected EDs
10000,-276.77,-278.50,0,0.23,2411
10003,279.30,-264.49,1,0.23,2456
10004,6.71,222.38,2,0.15,1583
10001,-270.08,262.67,3,0.18,1850
10002,274.73,266.38,4,0.16,1700
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3200,10003,170.14,9
1,298.44,411.65,16000,10002,147.19,9
2,-164.78,268.23,8000,10001,105.45,8
3,53.97,-22.60,4000,10004,249.50,9
4,-135.22,13.40,3200,10004,252.61,10
5,416.20,135.71,4000,10002,192.58,9
6,-358.40,106.97,16000,10001,179.00,9
7,-257.11,-362.77,3200,10000,86.53,8
8,-343.32,-99.06,16000,10000,191.38,9
9,-391.19,498.92,16000,10001,265.49,10
10,12.93,339.11,4000,10004,116.90,8
11,-203.97,137.55,4000,10001,141.51,9
12,-6.42,472.78,8000,10004,250.74,10
13,271.36,26.74,3200,10002,239.66,9
14,-99.77,391.53,8000,10004,199.88,9
15,-147.54,307.72,3200,10001,130.56,9
16,-430.24,449.33,4000,10001,245.96,9
17,-413.94,-307.79,4000,10000,140.26,9
18,390.23,-151.11,16000,10003,158.62,9
19,-479.98,-42.30,16000,10000,311.58,10
20,-261.72,470.63,3200,10001,208.14,9
21,350.92,-233.33,4000,10003,78.10,8
22,-124.79,260.25,4000,10004,136.85,9
23,167.72,31.61,16000,10004,249.64,9
24,-62.36,431.84,3200,10004,220.55,9
25,220.95,-215.71,4000,10003,76.05,8
26,139.98,-145.95,4000,10003,182.92,9
27,-334.03,-59.90,3200,10000,225.97,9
28,329.20,-169.66,16000,10003,107.15,8
29,393.37,-149.64,4000,10003,161.87,9
30,456.47,88.64,4000,10002,254.21,10
31,358.68,-60.44,3200,10003,218.94,9
32,-101.56,314.77,4000,10004,142.33,9
33,410.97,-17.51,16000,10003,279.88,10
34,450.25,420.13,16000,10002,233.34,9
35,381.06,141.08,8000,10002,164.34,9
36,119.60,-218.94,3200,10003,166.07,9
37,-192.54,-52.97,16000,10000,240.75,9
38,-312.47,-223.77,4000,10000,65.34,8
39,-83.50,-330.39,3200,10000,200.12,9
40,-396.83,-373.92,8000,10000,153.36,9
41,260.48,484.75,3200,10002,218.84,9
42,184.45,-116.81,4000,10003,175.51,9
43,-131.34,-205.84,16000,10000,162.57,9
44,84.49,-255.59,16000,10003,195.01,9
