ID,X,Y,Channel,UF,Connected EDs
18003,312.12,-451.86,3,0.22,1428
18001,356.09,-334.00,1,0.22,1411
18005,436.74,-82.08,5,0.27,1821
18002,0.00,0.00,2,0.38,2540
18004,-285.76,-119.59,4,0.33,2201
18006,-260.36,24.39,6,0.24,1613
18010,-392.90,-64.97,10,0.17,1106
18007,-381.03,-28.86,7,0.12,763
18008,174.57,328.42,8,0.25,1655
18009,250.26,431.72,9,0.19,1276
18000,-84.04,448.85,0,0.32,2186
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,18005,99.38,8
1,298.44,411.65,3600,18009,52.19,7
2,-164.78,268.23,3600,18000,197.84,9
3,53.97,-22.60,3600,18002,58.51,7
4,-135.22,13.40,3600,18006,125.62,9
5,416.20,135.71,3600,18005,218.76,9
6,-358.40,106.97,3600,18006,128.19,9
7,-257.11,-362.77,3600,18004,244.86,9
8,-343.32,-99.06,3600,18010,60.16,7
9,-391.19,498.92,3600,18000,311.21,10
10,12.93,339.11,3600,18000,146.45,9
11,-203.97,137.55,3600,18006,126.44,9
12,-6.42,472.78,3600,18000,81.23,8
13,271.36,26.74,3600,18005,197.97,9
14,-99.77,391.53,3600,18000,59.44,7
15,-147.54,307.72,3600,18000,154.75,9
16,-430.24,449.33,3600,18000,346.20,10
17,-413.94,-307.79,3600,18004,227.71,9
18,390.23,-151.11,3600,18005,83.23,8
19,-479.98,-42.30,3600,18010,89.98,8
20,-261.72,470.63,3600,18000,179.01,9
21,350.92,-233.33,3600,18001,100.80,8
22,-124.79,260.25,3600,18000,192.96,9
23,167.72,31.61,3600,18002,170.68,9
24,-62.36,431.84,3600,18000,27.56,7
25,220.95,-215.71,3600,18001,179.60,9
26,139.98,-145.95,3600,18002,202.23,9
27,-334.03,-59.90,3600,18007,56.33,7
28,329.20,-169.66,3600,18005,138.69,9
29,393.37,-149.64,3600,18005,80.28,8
30,456.47,88.64,3600,18005,171.85,9
31,358.68,-60.44,3600,18005,81.00,8
32,-101.56,314.77,3600,18000,135.22,9
33,410.97,-17.51,3600,18005,69.52,8
34,450.25,420.13,3600,18009,200.33,9
35,381.06,141.08,3600,18005,230.00,9
36,119.60,-218.94,3600,18002,249.48,9
37,-192.54,-52.97,3600,18006,102.87,8
38,-312.47,-223.77,3600,18004,107.55,8
39,-83.50,-330.39,3600,18004,292.15,10
