ID,X,Y,Channel,UF,Connected EDs
5000,-121.885593,117.764941,0,0.219839,1479
5002,135.334732,348.401814,2,0.149146,982
5003,-279.765613,-289.037350,3,0.179907,1158
5001,395.372138,-104.980612,1,0.097220,653
5004,302.012209,-336.649956,4,0.107521,728
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.187717,-105.617073,3600,5001,55.188091,7
1,298.440033,411.647358,3600,5002,174.938098,9
2,-164.777244,268.229595,3600,5000,156.458639,9
3,53.969956,-22.602948,3600,5000,225.007374,9
4,-135.215527,13.400910,3600,5000,105.211873,8
5,416.195068,135.711728,3600,5001,241.591384,9
6,-358.397445,106.968876,3600,5000,236.758128,9
7,-257.113229,-362.768423,3600,5003,77.132364,8
8,-343.320911,-99.055606,3600,5003,200.330574,9
9,-391.191198,498.924518,3600,5000,466.699188,10
10,12.932394,339.112235,3600,5002,122.754342,8
11,-203.968382,137.552268,3600,5000,84.434132,8
12,-6.417013,472.775024,3600,5002,188.579566,9
13,271.357698,26.744979,3600,5001,180.917696,9
14,-99.771378,391.529452,3600,5002,239.029028,9
15,-147.541653,307.724520,3600,5000,191.684311,9
16,-430.244724,449.327075,3600,5000,452.790020,10
17,-413.944152,-307.786154,3600,5003,135.482095,9
18,390.232603,-151.107065,3600,5001,46.411900,7
19,-479.976951,-42.298263,3600,5003,317.749520,10
20,-261.720046,470.634132,3600,5000,379.565989,10
21,350.919787,-233.334251,3600,5004,114.306982,8
22,-124.793024,260.248736,3600,5000,142.513456,9
23,167.723761,31.606434,3600,5001,265.480329,10
24,-62.362403,431.835056,3600,5002,214.581600,9
25,220.952343,-215.706597,3600,5004,145.595323,9
26,139.978817,-145.951320,3600,5004,250.241463,10
27,-334.025834,-59.895472,3600,5003,235.478601,9
28,329.201093,-169.662870,3600,5001,92.533247,8
29,393.372415,-149.639821,3600,5001,44.703958,7
30,456.468253,88.640133,3600,5001,203.031348,9
31,358.676326,-60.440081,3600,5001,57.709978,7
32,-101.563333,314.766896,3600,5000,198.047380,9
33,410.972031,-17.509343,3600,5001,88.851446,8
34,450.252374,420.128254,3600,5002,322.982668,10
35,381.062170,141.080596,3600,5001,246.476963,9
36,119.596484,-218.940588,3600,5004,217.096734,9
37,-192.542126,-52.966421,3600,5000,184.774305,9
38,-312.466890,-223.765328,3600,5003,73.005551,8
39,-83.498719,-330.392914,3600,5003,200.576609,9
40,-396.828812,-373.924661,3600,5003,144.601688,9
41,260.475228,484.751665,3600,5002,185.071407,9
42,184.445017,-116.811669,3600,5001,211.258667,9
43,-131.336458,-205.839638,3600,5003,170.156026,9
44,84.488501,-255.587264,3600,5004,232.137295,9
45,232.148516,-374.525095,3600,5004,79.469880,8
46,-335.898066,245.071389,3600,5000,249.014599,9
47,450.104032,-447.470738,3600,5004,184.966034,9
48,-323.789344,-259.937628,3600,5003,52.771988,7
49,232.654412,156.563653,3600,5002,215.111599,9
50,139.458346,259.734842,3600,5002,88.762808,8
51,-365.097588,20.210070,3600,5000,262.047758,10
52,-430.093602,-295.344914,3600,5003,150.460260,9
53,319.677280,73.318628,3600,5001,193.701654,9
54,-448.061181,-342.192871,900,5003,176.490532,9
55,-295.671389,389.955644,3600,5000,322.938511,10
56,497.798999,-445.942422,3600,5004,224.226026,9
57,-427.671201,-495.838391,3600,5003,254.249353,10
58,93.892179,-319.627734,3600,5004,208.814996,9
59,-108.309769,413.026677,3600,5002,252.069467,10
60,-140.904631,52.485022,3600,5000,67.994056,8
61,-47.424154,187.387435,3600,5000,101.940166,8
62,30.807988,257.293832,3600,5002,138.659671,9
63,492.228461,76.971113,3600,5001,206.125150,9
64,247.809296,128.909931,3600,5002,246.631738,9
65,247.802867,333.238542,3600,5002,113.485709,8
66,373.271343,331.037541,1800,5002,238.569379,9
67,243.811207,403.366340,900,5002,121.606928,8
68,166.880335,-2.741481,3600,5001,250.322481,10
69,330.011834,388.948750,3600,5002,198.854791,9
70,149.706986,-251.955882,3600,5004,174.269811,9
71,-270.863020,200.619965,3600,5000,170.467677,9
72,-171.222957,-268.572048,3600,5003,110.455135,8
73,133.072194,-276.343587,3600,5004,179.381122,9
74,10.685971,471.465710,3600,5002,175.162884,9
75,46.106878,219.268576,3600,5002,156.961788,9
76,-28.516571,92.539919,3600,5000,96.716472,8
77,-49.082442,-163.648874,3600,5003,262.558556,10
78,-65.486704,-496.768540,3600,5003,298.442118,10
79,98.481300,333.243294,3600,5002,39.849168,7
80,175.475980,-17.049720,3600,5001,236.825172,9
81,-195.044317,212.087260,3600,5000,119.368751,8
82,121.822821,-459.135697,3600,5004,217.878343,9
83,195.983791,173.936496,3600,5002,184.706403,9
84,-152.884127,-315.377532,3600,5003,129.586715,9
85,127.157886,230.729346,3600,5002,117.956223,8
86,240.438441,-297.787226,3600,5004,72.812366,8
87,184.756537,153.130332,3600,5002,201.428564,9
88,32.440973,-412.356372,3600,5004,280.000201,10
89,377.383928,186.124928,3600,5002,291.413111,10
90,-388.724368,-138.399092,3600,5003,185.913676,9
91,93.211455,166.556591,3600,5002,186.660267,9
92,275.767243,-211.620588,3600,5004,127.754221,9
93,-310.249018,484.363203,3600,5000,412.159029,10
94,327.391135,-168.520924,3600,5001,93.052609,8
95,-63.503003,458.636962,3600,5002,227.350462,9
96,264.871435,199.075403,3600,5002,197.681902,9
97,185.785792,-116.168061,3600,5001,209.884720,9
98,443.051274,416.272912,3600,5002,315.112609,10
99,-296.451784,293.656839,3600,5000,247.813064,9
100,-202.711548,404.932471,3600,5000,298.325368,10
101,373.978968,-1.856074,3600,5001,105.320170,8
102,-337.243257,-226.088831,3600,5003,85.241982,8
103,-7.601178,-36.337849,3600,5000,191.855668,9
104,-4.022604,-208.946714,3600,5003,287.138846,10
105,184.178439,227.550283,3600,5002,130.348763,9
106,103.108826,-7.578282,3600,5000,257.552737,10
107,224.251988,-321.792490,3600,5004,79.166888,8
108,-1.474518,-378.741216,3600,5003,292.391377,10
109,-139.557395,-175.193000,3600,5003,180.606977,9
110,408.484654,122.095452,3600,5001,227.454341,9
111,318.127612,-3.925580,3600,5001,127.196055,9
112,-105.672840,158.831164,3600,5000,44.150741,7
113,-241.093880,-348.770015,3600,5003,71.158233,8
114,-392.151718,147.207382,3600,5000,271.865106,10
115,-211.730480,-168.614180,3600,5003,138.313121,9
116,-72.672279,434.494647,3600,5002,225.119729,9
117,-234.538677,158.746634,3600,5000,119.875838,8
118,-12.573135,-342.727883,3600,5003,272.533472,10
119,125.665319,17.714721,3600,5000,267.004683,10
120,57.560613,-73.800624,3600,5000,262.484869,10
121,-105.611623,-255.673013,3600,5003,177.321152,9
122,229.360068,138.654147,900,5002,229.858321,9
123,-161.757073,397.560266,3600,5000,282.621936,10
124,-89.212062,-494.591452,3600,5003,280.291178,10
125,274.386235,-206.321931,3600,5004,133.223828,9
126,365.534814,221.005789,3600,5002,263.100409,10
127,-50.894888,486.467113,3600,5002,231.826440,9
128,-289.117081,-26.106023,3600,5000,220.601960,9
129,-406.080489,-400.440704,3600,5003,168.422550,9
130,-198.236898,157.119909,3600,5000,85.897237,8
131,-368.297855,-448.491714,3600,5003,182.383256,9
132,-42.284392,280.868354,3600,5000,181.491252,9
