ID,X,Y,Channel,UF,Connected EDs
8004,159.27,-173.05,0,0.17,1172
8002,0.00,0.00,1,0.09,591
8003,2.72,26.63,2,0.11,708
8000,43.44,-375.84,3,0.09,572
8006,405.35,-440.33,4,0.09,578
8005,-237.35,-352.72,5,0.23,1462
8007,-160.27,311.66,6,0.25,1680
8001,254.99,431.36,7,0.18,1196
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,8004,193.08,9
1,298.44,411.65,3600,8001,47.71,7
2,-164.78,268.23,3600,8007,43.67,7
3,53.97,-22.60,3600,8002,58.51,7
4,-135.22,13.40,3600,8002,135.88,9
5,416.20,135.71,3600,8001,336.74,10
6,-358.40,106.97,3600,8007,284.88,10
7,-257.11,-362.77,3600,8005,22.17,7
8,-343.32,-99.06,3600,8005,274.91,10
9,-391.19,498.92,3600,8007,297.31,10
10,12.93,339.11,3600,8007,175.36,9
11,-203.97,137.55,3600,8007,179.51,9
12,-6.42,472.78,3600,8007,222.77,9
13,271.36,26.74,3600,8004,229.09,9
14,-99.77,391.53,3600,8007,100.19,8
15,-147.54,307.72,3600,8007,13.32,7
16,-430.24,449.33,3600,8007,303.05,10
17,-413.94,-307.79,3600,8005,182.22,9
18,390.23,-151.11,3600,8004,232.00,9
19,-479.98,-42.30,3600,8005,393.99,10
20,-261.72,470.63,3600,8007,188.59,9
21,350.92,-233.33,3600,8004,200.91,9
22,-124.79,260.25,3600,8007,62.46,7
23,167.72,31.61,3600,8003,165.08,9
24,-62.36,431.84,3600,8007,155.01,9
25,220.95,-215.71,3600,8004,74.99,8
26,139.98,-145.95,3600,8004,33.27,7
27,-334.03,-59.90,3600,8005,308.37,10
28,329.20,-169.66,3600,8004,169.96,9
29,393.37,-149.64,3600,8004,235.27,9
30,456.47,88.64,3600,8004,395.99,10
31,358.68,-60.44,3600,8004,229.01,9
32,-101.56,314.77,3600,8007,58.79,7
33,410.97,-17.51,3600,8004,295.88,10
34,450.25,420.13,3600,8001,195.59,9
35,381.06,141.08,3600,8001,316.47,10
36,119.60,-218.94,3600,8004,60.66,7
37,-192.54,-52.97,3600,8002,199.69,9
38,-312.47,-223.77,3600,8005,149.24,9
39,-83.50,-330.39,3600,8000,134.83,9
40,-396.83,-373.92,3600,8005,160.88,9
41,260.48,484.75,3600,8001,53.68,7
42,184.45,-116.81,3600,8004,61.62,7
43,-131.34,-205.84,3600,8005,181.15,9
44,84.49,-255.59,3600,8004,111.37,8
45,232.15,-374.53,3600,8006,185.28,9
46,-335.90,245.07,3600,8007,187.83,9
47,450.10,-447.47,3600,8006,45.32,7
48,-323.79,-259.94,3600,8005,126.81,9
49,232.65,156.56,3600,8003,264.10,10
50,139.46,259.73,3600,8001,206.89,9
51,-365.10,20.21,3600,8007,356.23,10
52,-430.09,-295.34,3600,8005,201.10,9
53,319.68,73.32,3600,8004,293.99,10
54,-448.06,-342.19,900,8005,210.97,9
55,-295.67,389.96,3600,8007,156.41,9
56,497.80,-445.94,3600,8006,92.62,8
57,-427.67,-495.84,3600,8005,238.13,9
58,93.89,-319.63,3600,8000,75.53,8
59,-108.31,413.03,3600,8007,113.90,8
60,-140.90,52.49,3600,8003,145.94,9
61,-47.42,187.39,3600,8007,167.86,9
62,30.81,257.29,3600,8007,198.66,9
63,492.23,76.97,3600,8004,416.38,10
64,247.81,128.91,3600,8003,265.57,10
65,247.80,333.24,3600,8001,98.38,8
66,373.27,331.04,1800,8001,155.10,9
67,243.81,403.37,900,8001,30.14,7
68,166.88,-2.74,3600,8003,166.76,9
69,330.01,388.95,3600,8001,86.18,8
70,149.71,-251.96,3600,8004,79.48,8
71,-270.86,200.62,3600,8007,156.72,9
72,-171.22,-268.57,3600,8005,107.02,8
73,133.07,-276.34,3600,8004,106.56,8
74,10.69,471.47,3600,8007,234.01,9
75,46.11,219.27,3600,8003,197.46,9
76,-28.52,92.54,3600,8003,72.94,8
77,-49.08,-163.65,3600,8002,170.85,9
78,-65.49,-496.77,3600,8000,162.75,9
79,98.48,333.24,3600,8001,184.72,9
80,175.48,-17.05,3600,8004,156.84,9
81,-195.04,212.09,3600,8007,105.47,8
82,121.82,-459.14,3600,8000,114.38,8
83,195.98,173.94,3600,8003,243.00,9
84,-152.88,-315.38,3600,8005,92.35,8
85,127.16,230.73,3600,8001,237.89,9
86,240.44,-297.79,3600,8004,148.82,9
87,184.76,153.13,3600,8003,221.67,9
88,32.44,-412.36,3600,8000,38.14,7
89,377.38,186.12,3600,8001,274.08,10
90,-388.72,-138.40,3600,8005,262.39,10
91,93.21,166.56,3600,8003,166.63,9
92,275.77,-211.62,3600,8004,122.71,8
93,-310.25,484.36,3600,8007,228.74,9
94,327.39,-168.52,3600,8004,168.18,9
95,-63.50,458.64,3600,8007,175.97,9
96,264.87,199.08,3600,8001,232.49,9
97,185.79,-116.17,3600,8004,62.76,8
98,443.05,416.27,3600,8001,188.67,9
99,-296.45,293.66,3600,8007,137.37,9
100,-202.71,404.93,3600,8007,102.47,8
101,373.98,-1.86,3600,8004,274.61,10
102,-337.24,-226.09,3600,8005,161.29,9
103,-7.60,-36.34,3600,8002,37.12,7
104,-4.02,-208.95,3600,8004,167.19,9
105,184.18,227.55,3600,8001,215.76,9
106,103.11,-7.58,3600,8002,103.39,8
107,224.25,-321.79,3600,8004,162.31,9
108,-1.47,-378.74,3600,8000,45.01,7
109,-139.56,-175.19,3600,8005,202.68,9
110,408.48,122.10,3600,8001,345.26,10
111,318.13,-3.93,3600,8004,232.03,9
112,-105.67,158.83,3600,8007,162.29,9
113,-241.09,-348.77,3600,8005,5.44,7
114,-392.15,147.21,3600,8007,284.28,10
115,-211.73,-168.61,3600,8005,185.88,9
116,-72.67,434.49,3600,8007,150.87,9
117,-234.54,158.75,3600,8007,170.00,9
118,-12.57,-342.73,3600,8000,65.06,8
119,125.67,17.71,3600,8003,123.26,8
120,57.56,-73.80,3600,8002,93.59,8
121,-105.61,-255.67,3600,8005,163.63,9
122,229.36,138.65,900,8003,252.81,10
123,-161.76,397.56,3600,8007,85.91,8
124,-89.21,-494.59,3600,8000,178.04,9
125,274.39,-206.32,3600,8004,119.83,8
126,365.53,221.01,3600,8001,237.63,9
127,-50.89,486.47,3600,8007,206.20,9
128,-289.12,-26.11,3600,8002,290.29,10
129,-406.08,-400.44,3600,8005,175.35,9
130,-198.24,157.12,3600,8007,159.14,9
131,-368.30,-448.49,3600,8005,162.23,9
132,-42.28,280.87,3600,8007,121.93,8
133,-57.44,-380.89,3600,8000,101.00,8
134,78.63,29.90,3600,8003,75.98,8
135,-138.08,-195.71,3600,8005,185.76,9
136,-23.42,-330.18,3600,8000,80.96,8
137,25.75,118.93,3600,8003,95.12,8
138,-266.34,329.81,3600,8007,107.62,8
139,-401.16,423.73,3600,8007,265.69,10
140,-18.27,-274.51,3600,8000,118.64,8
141,-209.17,-142.81,3600,8005,211.80,9
142,-155.75,314.91,3600,8007,5.56,7
143,-463.67,-242.53,3600,8005,251.72,10
144,125.96,336.10,3600,8001,160.38,9
145,-278.99,-301.98,3600,8005,65.64,8
146,-390.27,174.61,3600,8007,267.74,10
147,219.46,-299.65,3600,8004,140.17,9
148,-184.34,-65.99,3600,8002,195.80,9
149,-114.25,32.85,3600,8003,117.14,8
150,55.40,-485.42,3600,8000,110.23,8
151,-117.83,-194.59,3600,8005,198.22,9
152,-239.56,149.66,3600,8007,180.37,9
153,419.59,185.99,3600,8001,295.47,10
154,197.85,-188.05,3600,8004,41.39,7
155,-494.00,32.96,3600,8007,434.80,10
156,118.45,142.69,3600,8003,163.90,9
157,-99.29,-137.85,3600,8002,169.88,9
158,301.90,177.81,3600,8001,257.85,10
159,-467.11,-436.44,3600,8005,244.53,9
160,-312.38,118.96,3600,8007,245.51,9
161,67.83,-498.87,3600,8000,125.43,9
162,-194.76,-238.43,3600,8005,121.97,8
163,357.56,-318.84,3600,8006,130.55,9
164,167.34,379.01,3600,8001,102.09,8
165,-186.77,385.01,3600,8007,77.99,8
166,-342.86,3.46,3600,8002,342.88,10
167,175.65,404.17,3600,8001,83.86,8
168,-105.48,206.07,3600,8007,118.96,8
169,47.40,238.96,3600,8003,216.98,9
170,-266.88,426.58,3600,8007,156.75,9
171,433.42,-5.59,3600,8004,321.25,10
172,439.13,299.65,3600,8001,226.40,9
173,94.50,157.20,900,8003,159.60,9
174,435.85,-175.46,3600,8006,266.62,10
175,89.16,137.77,3600,8003,140.79,9
176,275.42,294.91,3600,8001,137.97,9
