ID,X,Y,Channel,UF,Connected EDs
8004,200.34,76.96,4,0.28,1884
8006,52.13,-258.88,6,0.22,1452
8003,448.74,19.62,3,0.16,1056
8005,-29.17,-427.78,5,0.09,582
8001,-436.58,41.07,1,0.17,1121
8002,-386.61,-487.13,2,0.10,656
8000,-341.56,378.62,0,0.19,1249
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,8003,165.73,9
1,298.44,411.65,3600,8004,348.76,10
2,-164.78,268.23,3600,8000,208.42,9
3,53.97,-22.60,3600,8004,177.02,9
4,-135.22,13.40,3600,8001,302.63,10
5,416.20,135.71,3600,8003,120.57,8
6,-358.40,106.97,3600,8001,102.25,8
7,-257.11,-362.77,3600,8002,179.54,9
8,-343.32,-99.06,3600,8001,168.32,9
9,-391.19,498.92,3600,8000,130.14,9
10,12.93,339.11,3600,8004,322.25,10
11,-203.97,137.55,3600,8001,251.82,10
12,-6.42,472.78,3600,8000,348.12,10
13,271.36,26.74,3600,8004,86.98,8
14,-99.77,391.53,3600,8000,242.13,9
15,-147.54,307.72,3600,8000,206.56,9
16,-430.24,449.33,3600,8000,113.42,8
17,-413.94,-307.79,3600,8002,181.42,9
18,390.23,-151.11,3600,8003,180.47,9
19,-479.98,-42.30,3600,8001,93.99,8
20,-261.72,470.63,3600,8000,121.82,8
21,350.92,-233.33,3600,8003,271.21,10
22,-124.79,260.25,3600,8000,246.98,9
23,167.72,31.61,3600,8004,55.87,7
24,-62.36,431.84,3600,8000,284.22,10
25,220.95,-215.71,3600,8006,174.26,9
26,139.98,-145.95,3600,8006,143.07,9
27,-334.03,-59.90,3600,8001,143.91,9
28,329.20,-169.66,3600,8003,223.87,9
29,393.37,-149.64,3600,8003,178.08,9
30,456.47,88.64,3600,8003,69.46,8
31,358.68,-60.44,3600,8003,120.50,8
32,-101.56,314.77,3600,8000,248.34,9
33,410.97,-17.51,3600,8003,52.96,7
34,450.25,420.13,3600,8003,400.52,10
35,381.06,141.08,3600,8003,139.05,9
36,119.60,-218.94,3600,8006,78.40,8
37,-192.54,-52.97,3600,8001,261.52,10
38,-312.47,-223.77,3600,8002,273.60,10
39,-83.50,-330.39,3600,8005,111.51,8
40,-396.83,-373.92,3600,8002,113.67,8
41,260.48,484.75,3600,8004,412.20,10
42,184.45,-116.81,3600,8006,194.14,9
43,-131.34,-205.84,3600,8006,190.98,9
44,84.49,-255.59,3600,8006,32.53,7
45,232.15,-374.53,3600,8006,213.97,9
46,-335.90,245.07,3600,8000,133.67,9
47,450.10,-447.47,3600,8006,440.40,10
48,-323.79,-259.94,3600,8002,235.72,9
49,232.65,156.56,3600,8004,85.91,8
50,139.46,259.73,3600,8004,192.64,9
51,-365.10,20.21,3600,8001,74.46,8
52,-430.09,-295.34,3600,8002,196.65,9
53,319.68,73.32,3600,8004,119.39,8
54,-448.06,-342.19,900,8002,157.43,9
55,-295.67,389.96,3600,8000,47.27,7
56,497.80,-445.94,3600,8003,468.14,10
57,-427.67,-495.84,3600,8002,41.97,7
58,93.89,-319.63,3600,8006,73.72,8
59,-108.31,413.03,3600,8000,235.77,9
60,-140.90,52.49,3600,8001,295.89,10
61,-47.42,187.39,3600,8004,271.26,10
62,30.81,257.29,3600,8004,247.51,9
63,492.23,76.97,3600,8003,71.98,8
64,247.81,128.91,3600,8004,70.37,8
65,247.80,333.24,3600,8004,260.63,10
66,373.27,331.04,1800,8004,307.34,10
67,243.81,403.37,900,8004,329.28,10
68,166.88,-2.74,3600,8004,86.44,8
69,330.01,388.95,3600,8004,337.86,10
70,149.71,-251.96,3600,8006,97.82,8
71,-270.86,200.62,3600,8000,191.53,9
72,-171.22,-268.57,3600,8005,213.36,9
73,133.07,-276.34,3600,8006,82.81,8
74,10.69,471.47,3600,8000,364.27,10
75,46.11,219.27,3600,8004,209.85,9
76,-28.52,92.54,3600,8004,229.39,9
77,-49.08,-163.65,3600,8006,138.97,9
78,-65.49,-496.77,3600,8005,77.97,8
79,98.48,333.24,3600,8004,275.78,10
80,175.48,-17.05,3600,8004,97.25,8
81,-195.04,212.09,3600,8000,221.81,9
82,121.82,-459.14,3600,8005,154.22,9
83,195.98,173.94,3600,8004,97.07,8
84,-152.88,-315.38,3600,8005,167.15,9
85,127.16,230.73,3600,8004,170.29,9
86,240.44,-297.79,3600,8006,192.29,9
87,184.76,153.13,3600,8004,77.74,8
88,32.44,-412.36,3600,8005,63.51,8
89,377.38,186.12,3600,8003,181.16,9
90,-388.72,-138.40,3600,8001,185.74,9
91,93.21,166.56,3600,8004,139.65,9
92,275.77,-211.62,3600,8006,228.58,9
93,-310.25,484.36,3600,8000,110.28,8
94,327.39,-168.52,3600,8003,223.88,9
95,-63.50,458.64,3600,8000,289.34,10
96,264.87,199.08,3600,8004,138.11,9
97,185.79,-116.17,3600,8004,193.68,9
98,443.05,416.27,3600,8003,396.70,10
99,-296.45,293.66,3600,8000,96.19,8
100,-202.71,404.93,3600,8000,141.32,9
101,373.98,-1.86,3600,8003,77.78,8
102,-337.24,-226.09,3600,8002,265.67,10
103,-7.60,-36.34,3600,8006,230.41,9
104,-4.02,-208.95,3600,8006,75.14,8
105,184.18,227.55,3600,8004,151.45,9
106,103.11,-7.58,3600,8004,128.85,9
107,224.25,-321.79,3600,8006,183.26,9
108,-1.47,-378.74,3600,8005,56.32,7
109,-139.56,-175.19,3600,8006,209.16,9
110,408.48,122.10,3600,8003,110.10,8
111,318.13,-3.93,3600,8003,132.72,9
112,-105.67,158.83,3600,8004,316.77,10
113,-241.09,-348.77,3600,8002,200.80,9
114,-392.15,147.21,3600,8001,115.06,8
115,-211.73,-168.61,3600,8006,278.87,10
116,-72.67,434.49,3600,8000,274.63,10
117,-234.54,158.75,3600,8001,233.81,9
118,-12.57,-342.73,3600,8005,86.65,8
119,125.67,17.71,3600,8004,95.32,8
120,57.56,-73.80,3600,8006,185.16,9
121,-105.61,-255.67,3600,8006,157.77,9
122,229.36,138.65,900,8004,68.18,8
123,-161.76,397.56,3600,8000,180.80,9
124,-89.21,-494.59,3600,8005,89.83,8
125,274.39,-206.32,3600,8006,228.39,9
126,365.53,221.01,3600,8003,217.90,9
127,-50.89,486.47,3600,8000,310.03,10
128,-289.12,-26.11,3600,8001,162.04,9
129,-406.08,-400.44,3600,8002,88.85,8
130,-198.24,157.12,3600,8000,263.82,10
131,-368.30,-448.49,3600,8002,42.76,7
132,-42.28,280.87,3600,8000,314.83,10
133,-57.44,-380.89,3600,8005,54.75,7
134,78.63,29.90,3600,8004,130.49,9
135,-138.08,-195.71,3600,8006,200.42,9
136,-23.42,-330.18,3600,8005,97.77,8
137,25.75,118.93,3600,8004,179.56,9
138,-266.34,329.81,3600,8000,89.66,8
139,-401.16,423.73,3600,8000,74.75,8
140,-18.27,-274.51,3600,8006,72.11,8
141,-209.17,-142.81,3600,8006,285.92,10
142,-155.75,314.91,3600,8000,196.43,9
143,-463.67,-242.53,3600,8002,256.45,10
144,125.96,336.10,3600,8004,269.60,10
