ID,X,Y,Channel,UF,Connected EDs
8004,-4.93,-0.03,4,0.23,1533
8001,211.92,-411.98,1,0.23,1538
8002,313.91,374.48,2,0.23,1521
8000,-271.24,-303.87,0,0.23,1521
8003,-260.26,187.63,3,0.28,1887
ID,X,Y,Period,GW ID,Dist. GW,SF
0,340.19,-105.62,3600,8001,332.13,10
1,298.44,411.65,3600,8002,40.26,7
2,-164.78,268.23,3600,8003,124.95,8
3,53.97,-22.60,3600,8004,63.08,8
4,-135.22,13.40,3600,8004,130.98,9
5,416.20,135.71,3600,8002,259.76,10
6,-358.40,106.97,3600,8003,127.04,9
7,-257.11,-362.77,3600,8000,60.57,7
8,-343.32,-99.06,3600,8000,217.12,9
9,-391.19,498.92,3600,8003,337.71,10
10,12.93,339.11,3600,8002,303.05,10
11,-203.97,137.55,3600,8003,75.34,8
12,-6.42,472.78,3600,8002,335.07,10
13,271.36,26.74,3600,8004,277.58,10
14,-99.77,391.53,3600,8003,259.48,10
15,-147.54,307.72,3600,8003,164.70,9
16,-430.24,449.33,3600,8003,312.06,10
17,-413.94,-307.79,3600,8000,142.75,9
18,390.23,-151.11,3600,8001,315.99,10
19,-479.98,-42.30,3600,8003,318.03,10
20,-261.72,470.63,3600,8003,283.00,10
21,350.92,-233.33,3600,8001,226.35,9
22,-124.79,260.25,3600,8003,153.70,9
23,167.72,31.61,3600,8004,175.53,9
24,-62.36,431.84,3600,8003,314.32,10
25,220.95,-215.71,3600,8001,196.48,9
26,139.98,-145.95,3600,8004,205.65,9
27,-334.03,-59.90,3600,8000,251.92,10
28,329.20,-169.66,3600,8001,269.21,10
29,393.37,-149.64,3600,8001,318.98,10
30,456.47,88.64,3600,8002,319.42,10
31,358.68,-60.44,3600,8004,368.59,10
32,-101.56,314.77,3600,8003,203.34,9
33,410.97,-17.51,3600,8002,403.83,10
34,450.25,420.13,3600,8002,143.78,9
35,381.06,141.08,3600,8002,242.87,9
36,119.60,-218.94,3600,8001,213.98,9
37,-192.54,-52.97,3600,8004,194.94,9
38,-312.47,-223.77,3600,8000,90.09,8
39,-83.50,-330.39,3600,8000,189.61,9
40,-396.83,-373.92,3600,8000,143.80,9
41,260.48,484.75,3600,8002,122.53,8
42,184.45,-116.81,3600,8004,222.49,9
43,-131.34,-205.84,3600,8000,170.83,9
44,84.49,-255.59,3600,8001,201.74,9
45,232.15,-374.53,3600,8001,42.57,7
46,-335.90,245.07,3600,8003,94.98,8
47,450.10,-447.47,3600,8001,240.81,9
48,-323.79,-259.94,3600,8000,68.49,8
49,232.65,156.56,3600,8002,232.58,9
50,139.46,259.73,3600,8002,208.81,9
51,-365.10,20.21,3600,8003,197.54,9
52,-430.09,-295.34,3600,8000,159.08,9
53,319.68,73.32,3600,8002,301.22,10
54,-448.06,-342.19,900,8000,180.92,9
55,-295.67,389.96,3600,8003,205.40,9
56,497.80,-445.94,3600,8001,287.89,10
57,-427.67,-495.84,3600,8000,247.63,9
58,93.89,-319.63,3600,8001,149.87,9
59,-108.31,413.03,3600,8003,271.83,10
60,-140.90,52.49,3600,8004,145.77,9
61,-47.42,187.39,3600,8004,192.17,9
62,30.81,257.29,3600,8004,259.79,10
63,492.23,76.97,3600,8002,346.86,10
64,247.81,128.91,3600,8002,254.32,10
65,247.80,333.24,3600,8002,77.92,8
66,373.27,331.04,1800,8002,73.56,8
67,243.81,403.37,900,8002,75.82,8
68,166.88,-2.74,3600,8004,171.83,9
69,330.01,388.95,3600,8002,21.64,7
70,149.71,-251.96,3600,8001,171.69,9
71,-270.86,200.62,3600,8003,16.77,7
72,-171.22,-268.57,3600,8000,106.07,8
73,133.07,-276.34,3600,8001,156.89,9
74,10.69,471.47,3600,8002,318.36,10
75,46.11,219.27,3600,8004,225.16,9
76,-28.52,92.54,3600,8004,95.53,8
77,-49.08,-163.65,3600,8004,169.47,9
78,-65.49,-496.77,3600,8000,282.04,10
79,98.48,333.24,3600,8002,219.34,9
80,175.48,-17.05,3600,8004,181.20,9
81,-195.04,212.09,3600,8003,69.65,8
82,121.82,-459.14,3600,8001,101.69,8
83,195.98,173.94,3600,8002,232.65,9
84,-152.88,-315.38,3600,8000,118.92,8
85,127.16,230.73,3600,8002,235.68,9
86,240.44,-297.79,3600,8001,117.70,8
87,184.76,153.13,3600,8004,243.80,9
88,32.44,-412.36,3600,8001,179.48,9
89,377.38,186.12,3600,8002,198.77,9
