ID,X,Y,Channel,UF,Connected EDs
40010,-93.20,-58.68,0,0.22,2315
40006,-520.31,-386.51,1,0.24,2511
40004,-473.27,241.52,2,0.24,2499
40005,-854.48,36.65,3,0.22,2220
40008,-309.08,-815.56,2,0.23,2361
40012,315.71,-270.41,3,0.24,2542
40011,153.25,241.79,4,0.23,2401
40007,-799.65,-729.15,4,0.23,2402
40009,238.38,-814.25,4,0.23,2406
40015,-352.03,752.03,1,0.24,2507
40001,103.50,688.15,5,0.24,2483
40003,-840.73,690.35,0,0.22,2341
40014,727.09,-275.02,1,0.24,2472
40013,698.37,396.59,2,0.15,1562
40017,802.47,196.24,6,0.16,1614
40000,727.73,-806.91,0,0.23,2390
40002,551.66,797.87,3,0.13,1313
40018,617.61,979.72,7,0.05,533
40016,922.67,732.90,0,0.11,1128
ID,X,Y,Period,GW ID,Dist. GW,SF
0,680.38,-211.23,3200,40014,79.06,8
1,596.88,823.29,16000,40002,51.87,7
2,-329.55,536.46,8000,40015,216.74,9
3,107.94,-45.21,4000,40010,201.59,9
4,-270.43,26.80,3200,40010,196.77,9
5,832.39,271.42,4000,40017,80.92,8
6,-716.79,213.94,16000,40005,224.47,9
7,-514.23,-725.54,3200,40008,224.03,9
8,-686.64,-198.11,16000,40006,251.32,10
9,-782.38,997.85,16000,40003,312.99,10
10,25.86,678.22,4000,40001,78.26,8
11,-407.94,275.10,4000,40004,73.45,8
12,-12.83,945.55,8000,40001,282.47,10
13,542.72,53.49,3200,40017,296.40,10
14,-199.54,783.06,8000,40015,155.61,9
15,-295.08,615.45,3200,40015,147.98,9
16,-860.49,898.65,4000,40003,209.24,9
17,-827.89,-615.57,4000,40007,117.04,8
18,780.47,-302.21,16000,40014,59.90,7
19,-959.95,-84.60,16000,40005,160.70,9
20,-523.44,941.27,3200,40015,255.33,10
21,701.84,-466.67,4000,40014,193.31,9
22,-249.59,520.50,4000,40015,253.18,10
23,335.45,63.21,16000,40011,255.12,10
24,-124.72,863.67,3200,40015,253.24,10
25,441.90,-431.41,4000,40012,204.56,9
26,279.96,-291.90,4000,40012,41.71,7
27,-668.05,-119.79,3200,40005,243.37,9
28,658.40,-339.33,16000,40014,94.09,8
29,786.74,-299.28,4000,40014,64.40,8
30,912.94,177.28,4000,40017,112.08,8
31,717.35,-120.88,3200,40014,154.44,9
32,-203.13,629.53,4000,40015,192.81,9
33,821.94,-35.02,16000,40017,232.07,9
34,900.50,840.26,16000,40016,109.63,8
35,762.12,282.16,8000,40017,94.93,8
36,239.19,-437.88,3200,40012,184.12,9
37,-385.08,-105.93,16000,40010,295.69,10
38,-624.93,-447.53,4000,40006,121.12,8
39,-167.00,-660.79,3200,40008,210.10,9
40,-793.66,-747.85,8000,40007,19.63,7
41,520.95,969.50,3200,40018,97.20,8
42,368.89,-233.62,4000,40012,64.67,8
43,-262.67,-411.68,16000,40006,258.86,10
44,168.98,-511.17,16000,40012,281.95,10
45,464.30,-749.05,3200,40009,235.14,9
46,-671.80,490.14,16000,40003,261.96,10
47,900.21,-894.94,4000,40000,193.64,9
48,-647.58,-519.88,3200,40006,184.35,9
49,465.31,313.13,3200,40013,247.56,9
50,278.92,519.47,16000,40001,243.36,9
51,-730.20,40.42,16000,40005,124.34,8
52,-860.19,-590.69,8000,40007,151.12,9
53,639.35,146.64,3200,40017,170.49,9
54,-896.12,-684.39,3200,40007,106.35,8
55,-591.34,779.91,16000,40015,240.93,9
56,995.60,-891.88,3200,40000,281.02,10
57,-855.34,-991.68,3200,40007,268.37,10
58,187.78,-639.26,16000,40009,182.16,9
59,-216.62,826.05,3200,40015,154.32,9
60,-281.81,104.97,4000,40004,235.17,9
61,-94.85,374.77,16000,40011,281.49,10
62,61.62,514.59,8000,40001,178.54,9
63,984.46,153.94,3200,40017,186.83,9
64,495.62,257.82,16000,40013,245.69,9
65,495.61,666.48,3200,40002,142.85,9
66,746.54,662.08,3200,40016,189.84,9
67,487.62,806.73,3200,40002,64.65,8
68,333.76,-5.48,16000,40012,265.54,10
69,660.02,777.90,16000,40002,110.19,8
70,299.41,-503.91,4000,40012,234.07,9
71,-541.73,401.24,8000,40004,173.77,9
72,-342.45,-537.14,16000,40006,233.08,9
73,266.14,-552.69,4000,40009,263.03,10
74,21.37,942.93,8000,40001,267.69,10
75,92.21,438.54,16000,40011,205.99,9
76,-57.03,185.08,3200,40011,217.80,9
77,-98.16,-327.30,3200,40010,268.67,10
78,-130.97,-993.54,8000,40008,251.79,10
79,196.96,666.49,16000,40001,95.94,8
80,350.95,-34.10,8000,40012,238.93,9
81,-390.09,424.17,16000,40004,200.70,9
82,243.65,-918.27,8000,40009,104.16,8
83,391.97,347.87,4000,40011,261.22,10
84,-305.77,-630.76,4000,40008,184.83,9
85,254.32,461.46,8000,40011,241.80,9
86,480.88,-595.57,3200,40000,324.97,10
87,369.51,306.26,8000,40011,225.67,9
88,64.88,-824.71,8000,40009,173.81,9
89,754.77,372.25,16000,40013,61.43,7
90,-777.45,-276.80,4000,40006,279.57,10
91,186.42,333.11,8000,40011,97.16,8
92,551.53,-423.24,8000,40014,229.76,9
93,-620.50,968.73,16000,40015,345.01,10
94,654.78,-337.04,16000,40014,95.27,8
95,-127.01,917.27,3200,40015,279.18,10
96,529.74,398.15,16000,40013,168.63,9
97,371.57,-232.34,3200,40012,67.60,8
98,886.10,832.55,3200,40016,106.15,8
99,-592.90,587.31,4000,40003,268.39,10
100,-405.42,809.86,3200,40015,78.72,8
101,747.96,-3.71,4000,40017,207.25,9
102,-674.49,-452.18,3200,40006,167.58,9
103,-15.20,-72.68,3200,40010,79.24,8
104,-8.05,-417.89,16000,40012,355.76,10
105,368.36,455.10,16000,40011,302.94,10
106,206.22,-15.16,3200,40011,262.35,10
107,448.50,-643.58,16000,40009,270.70,10
108,-2.95,-757.48,16000,40009,247.91,9
109,-279.11,-350.39,3200,40006,243.88,9
110,816.97,244.19,3200,40017,50.10,7
111,636.26,-7.85,8000,40017,263.21,10
112,-211.35,317.66,4000,40004,272.76,10
113,-482.19,-697.54,16000,40008,209.51,9
114,-784.30,294.41,8000,40005,267.15,10
115,-423.46,-337.23,16000,40006,108.66,8
116,-145.34,868.99,4000,40015,237.48,9
117,-469.08,317.49,3200,40004,76.08,8
118,-25.15,-685.46,3200,40009,293.31,10
119,251.33,35.43,16000,40011,228.49,9
120,115.12,-147.60,3200,40010,226.51,9
121,-211.22,-511.35,8000,40008,319.57,10
122,458.72,277.31,3200,40013,267.70,10
123,-323.51,795.12,16000,40015,51.67,7
124,-178.42,-989.18,3200,40008,217.29,9
125,548.77,-412.64,16000,40014,225.25,9
126,731.07,442.01,16000,40013,55.97,7
127,-101.79,972.93,4000,40015,333.79,10
128,-578.23,-52.21,3200,40005,290.19,10
129,-812.16,-800.88,8000,40007,72.81,8
130,-396.47,314.24,3200,40004,105.76,8
131,-736.60,-896.98,16000,40007,179.29,9
132,-84.57,561.74,4000,40001,226.60,9
133,-114.88,-761.78,4000,40008,201.51,9
134,157.27,59.80,4000,40011,182.04,9
135,-276.17,-391.43,3200,40006,244.19,9
136,-46.83,-660.36,4000,40008,304.73,10
137,51.49,237.85,4000,40011,101.83,8
138,-532.69,659.62,16000,40015,202.92,9
139,-802.33,847.46,16000,40003,161.73,9
140,-36.53,-549.02,3200,40008,381.22,10
141,-418.34,-285.61,3200,40006,143.45,9
142,-311.50,629.82,4000,40015,128.76,9
143,-927.35,-485.06,3200,40007,275.47,10
144,251.93,672.21,8000,40001,149.29,9
145,-557.98,-603.96,4000,40006,220.69,9
146,-780.53,349.21,3200,40005,321.19,10
147,438.92,-599.30,8000,40009,293.98,10
148,-368.68,-131.98,16000,40010,285.07,10
149,-228.50,65.69,16000,40010,183.78,9
150,110.80,-970.84,8000,40009,201.99,9
151,-235.67,-389.18,4000,40006,284.65,10
152,-479.11,299.32,4000,40004,58.09,7
153,839.18,371.97,3200,40013,142.95,9
154,395.70,-376.10,4000,40012,132.54,9
155,-987.99,65.92,3200,40005,136.68,9
156,236.89,285.39,4000,40011,94.32,8
157,-198.58,-275.69,4000,40010,241.25,9
158,603.79,355.62,16000,40013,103.07,8
159,-934.21,-872.88,4000,40007,196.89,9
160,-624.77,237.92,4000,40004,151.54,9
161,135.66,-997.75,16000,40009,210.29,9
162,-389.52,-476.86,4000,40006,158.96,9
163,715.11,-637.68,8000,40000,169.71,9
164,334.68,758.02,4000,40002,220.61,9
165,-373.54,770.03,16000,40015,28.05,7
166,-685.72,6.92,3200,40005,171.36,9
167,351.31,808.34,16000,40002,200.63,9
168,-210.96,412.13,3200,40004,312.91,10
169,94.79,477.92,3200,40001,210.41,9
170,-533.76,853.15,4000,40015,207.97,9
171,866.84,-11.19,4000,40017,217.18,9
172,878.26,599.29,3200,40016,140.79,9
173,188.99,314.40,3200,40011,80.93,8
174,871.70,-350.92,3200,40014,163.32,9
175,178.31,275.54,3200,40011,42.04,7
176,550.84,589.82,8000,40002,208.05,9
177,208.76,-58.87,16000,40012,237.04,9
178,590.98,730.17,3200,40002,78.29,8
179,328.83,-175.03,4000,40012,96.28,8
180,193.80,291.20,4000,40011,63.92,8
181,-703.32,158.04,16000,40005,193.87,9
182,401.82,36.30,3200,40012,318.57,10
183,30.10,-774.70,8000,40009,212.00,9
184,20.70,-903.00,3200,40009,235.08,9
185,-230.68,275.31,8000,40004,244.92,9
186,-712.04,-173.84,16000,40005,254.16,10
187,-186.47,-965.09,4000,40008,193.37,9
188,147.44,625.89,4000,40001,76.20,8
189,-106.51,-45.28,3200,40010,18.89,7
190,-882.55,-851.48,4000,40007,147.78,9
191,194.56,-554.80,16000,40009,263.13,10
192,260.49,847.03,4000,40001,223.36,9
193,-74.30,-122.88,3200,40010,66.93,8
194,905.32,897.82,3200,40016,165.84,9
195,534.03,-332.86,4000,40014,201.54,9
196,-561.73,-44.90,3200,40004,299.77,10
197,-67.66,768.64,3200,40001,189.14,9
198,-632.47,-83.92,3200,40005,252.64,10
199,532.90,809.56,8000,40002,22.11,7
200,523.22,927.01,8000,40018,108.11,8
201,-195.24,121.57,4000,40010,207.13,9
202,244.33,-617.94,8000,40009,196.39,9
203,-279.79,307.76,3200,40004,204.50,9
204,-578.62,213.08,3200,40004,109.12,8
205,-780.44,-252.89,16000,40006,292.45,10
206,293.04,185.38,4000,40011,150.74,9
207,192.68,-882.28,4000,40009,81.95,8
208,127.23,-514.75,16000,40012,308.58,10
209,-312.32,-981.85,3200,40008,166.32,9
210,202.85,541.37,3200,40001,177.24,9
211,866.55,-653.87,8000,40000,206.62,9
212,-24.56,590.46,4000,40001,161.06,9
213,931.36,-689.33,8000,40000,235.14,9
214,764.41,-267.94,3200,40014,37.98,7
215,495.28,-48.39,8000,40012,285.55,10
216,893.28,-755.35,3200,40000,173.39,9
217,246.39,437.33,3200,40011,216.59,9
218,-631.87,-435.43,16000,40006,121.82,8
219,-594.05,252.25,16000,40004,121.26,8
220,-746.66,-544.90,3200,40007,191.72,9
221,-972.27,-678.35,16000,40007,179.94,9
222,-76.30,297.09,3200,40011,236.12,9
223,-798.29,228.45,16000,40005,199.87,9
224,-212.51,-7.14,8000,40010,129.96,9
225,-413.65,-511.86,3200,40006,164.59,9
226,132.33,-618.58,16000,40009,222.56,9
