ID,X,Y,Channel,UF,Connected EDs
40015,-499.06,-449.01,0,0.27,1788
40018,-0.95,-50.48,1,0.23,1561
40025,0.00,0.00,2,0.02,131
40023,0.00,0.00,3,0.02,151
40027,0.00,0.00,4,0.02,140
40031,0.00,0.00,5,0.02,138
40032,0.00,0.00,6,0.02,128
40024,0.00,0.00,7,0.02,147
40021,0.00,0.00,8,0.02,119
40029,0.00,0.00,9,0.02,131
40026,0.00,0.00,10,0.02,147
40020,0.00,0.00,11,0.02,127
40028,0.00,0.00,12,0.02,135
40019,0.00,0.00,13,0.02,143
40022,0.00,0.00,14,0.02,130
40030,0.00,0.00,15,0.02,134
40034,0.00,0.00,16,0.02,154
40033,0.00,0.00,17,0.02,151
40017,-43.10,84.21,18,0.24,1601
40005,-800.11,-219.90,19,0.27,1765
40008,-301.14,-783.96,20,0.26,1749
40011,-754.97,207.96,20,0.27,1781
40012,-451.02,479.00,21,0.26,1725
40006,110.95,-766.00,19,0.26,1714
40000,-798.37,-770.79,1,0.27,1740
40014,401.08,-550.91,21,0.27,1771
40007,-279.00,805.02,19,0.27,1782
40016,695.46,-28.92,20,0.26,1724
40013,436.46,492.84,22,0.26,1730
40003,-807.96,746.95,1,0.26,1744
40009,161.73,764.01,23,0.27,1798
40010,817.24,-409.35,23,0.27,1812
40001,731.02,-830.01,0,0.27,1780
40004,831.07,396.35,19,0.26,1721
40002,715.92,831.94,0,0.26,1732
ID,X,Y,Period,GW ID,Dist. GW,SF
0,680.38,-211.23,3600,40016,182.93,9
1,596.88,823.29,3600,40002,119.35,8
2,-329.55,536.46,3600,40012,134.37,9
3,107.94,-45.21,3600,40018,109.01,8
4,-270.43,26.80,3600,40017,234.47,9
5,832.39,271.42,3600,40004,124.94,8
6,-716.79,213.94,3600,40011,38.64,7
7,-514.23,-725.54,3600,40008,220.95,9
8,-686.64,-198.11,3600,40005,115.54,8
9,-782.38,997.85,3600,40003,252.20,10
10,25.86,678.22,3600,40009,160.68,9
11,-407.94,275.10,3600,40012,208.40,9
12,-12.83,945.55,3600,40009,251.85,10
13,542.72,53.49,3600,40016,173.56,9
14,-199.54,783.06,3600,40007,82.44,8
15,-295.08,615.45,3600,40007,190.25,9
16,-860.49,898.65,3600,40003,160.54,9
17,-827.89,-615.57,3600,40000,158.00,9
18,780.47,-302.21,3600,40010,113.27,8
19,-959.95,-84.60,3600,40005,209.42,9
20,-523.44,941.27,3600,40007,279.85,10
21,701.84,-466.67,3600,40010,128.85,9
22,-249.59,520.50,3600,40012,205.66,9
23,335.45,63.21,3600,40020,341.35,10
24,-124.72,863.67,3600,40007,165.05,9
25,441.90,-431.41,3600,40014,126.28,9
26,279.96,-291.90,3600,40014,285.93,10
27,-668.05,-119.79,3600,40005,165.71,9
28,658.40,-339.33,3600,40010,173.58,9
29,786.74,-299.28,3600,40010,114.22,8
