map,gw,ed,cov,time,iter,exit
1000,5,6500,100.000000,0,70,2
1000,6,6500,100.000000,0,84,2
2000,16,9500,100.000000,12,250,2
1000,9,10000,100.000000,2,130,2
1000,5,5000,100.000000,0,65,2
1000,4,5000,100.000000,0,49,2
1000,7,5000,100.000000,0,99,2
1000,4,5000,100.000000,0,51,2
1000,4,5000,100.000000,0,49,2
1000,5,5000,100.000000,433,79,3
1000,5,5000,100.000000,349,71,3
1000,5,5000,100.000000,438,79,3
1000,5,5000,100.000000,290,64,3
1000,5,5000,100.000000,355,71,3
1000,6,5000,100.000000,432,80,3
1000,5,5000,100.000000,334,68,3
1000,5,5000,100.000000,285,64,3
1000,5,5000,100.000000,444,90,3
1000,1,5000,100.000000,1,0,3
1000,1,5000,100.000000,0,0,3
1000,1,5000,100.000000,2,0,3
1000,1,5000,100.000000,1,0,3
1000,1,5000,100.000000,0,0,3
1000,5,5000,100.000000,402,86,3
1000,5,5000,100.000000,536,98,3
1000,5,5000,100.000000,501,94,3
1000,5,5000,100.000000,452,86,3
1000,5,5000,100.000000,450,94,3
1000,5,5000,100.000000,374,85,3
1000,5,5000,100.000000,383,84,3
1000,5,5000,100.000000,395,84,3
1000,5,5000,100.000000,369,84,3
1000,5,5000,100.000000,365,84,3
1000,5,5000,100.000000,243,84,3
1000,4,5000,100.000000,153,63,3
1000,4,5000,100.000000,194,69,3
1000,5,6500,100.000000,500,84,3
1000,5,6500,100.000000,628,94,3
1000,5,6500,99.984615,701,100,2
1000,5,6500,100.000000,493,84,3
1000,5,6500,99.984615,677,100,2
1000,5,8000,99.875000,840,100,2
1000,5,18000,66.338889,2115,100,2
1000,10,18000,100.000000,9448,206,3
1000,10,18000,100.000000,8243,191,3
1000,10,18000,99.994444,8092,189,3
1000,10,18000,100.000000,9377,205,3
1000,10,18000,99.99,7958,192,3
