ID,X,Y,Channel,UF,Connected EDs
10001,-305.05,-1.80,0,0.69,3016
10002,372.13,391.56,1,0.61,2315
10003,238.08,-219.60,2,0.66,2962
10004,-160.55,-437.29,3,0.31,1707
ID,X,Y,Period,GW ID,Dist. GW,SF
2285,115.77,21.50,3200,10003,270.35,10
5604,18.34,76.44,3200,10001,332.72,11
2265,-115.21,220.20,3200,10001,292.10,10
5598,-18.08,-202.74,3200,10003,256.71,10
5595,107.32,-54.74,3200,10003,210.43,9
2268,449.63,245.83,3200,10002,165.05,9
2269,235.07,19.13,3200,10003,238.76,9
2270,324.97,354.04,3200,10002,60.27,7
5582,-41.15,472.61,3200,10002,421.15,10
2279,-190.01,-359.47,3200,10004,83.21,8
2281,-445.84,-125.01,3200,10001,187.09,9
5577,393.74,303.68,3200,10002,90.50,8
5607,-62.95,-447.83,3200,10004,98.17,8
2286,226.89,-432.34,3200,10003,213.03,9
5572,303.34,-199.44,3200,10003,68.30,8
2288,361.96,312.06,3200,10002,80.14,8
2289,-270.35,-377.95,3200,10004,124.80,8
2290,-383.54,-103.10,3200,10001,128.15,9
5570,466.02,391.69,3200,10002,93.89,8
8601,-232.24,-245.03,3200,10004,205.18,9
2295,35.19,-156.77,3200,10003,212.40,9
2296,-62.47,-429.89,3200,10004,98.37,8
5566,249.43,382.16,3200,10002,123.06,8
2298,346.40,-327.81,3200,10003,153.11,9
5615,-214.13,227.89,3200,10001,247.02,9
5632,428.04,-291.97,3200,10003,203.28,9
5631,-267.50,-219.20,3200,10001,220.62,9
2231,-255.02,303.24,3200,10001,309.11,10
2232,71.28,93.59,3200,10003,354.84,10
5626,-169.60,-291.52,3200,10004,146.05,9
5625,-41.51,73.76,3200,10001,274.16,11
8585,-78.57,388.79,3200,10003,685.86,11
9447,-378.74,-56.23,3200,10001,91.62,8
2239,-413.04,-74.50,3200,10001,130.19,9
2241,-274.38,232.55,3200,10001,236.34,9
5617,346.78,-148.27,3200,10003,130.01,9
5565,-116.37,-299.94,3200,10004,144.28,9
2245,346.80,-235.48,3200,10003,109.87,8
9444,-283.78,-291.20,3200,10004,191.12,9
2247,-479.01,135.96,3200,10001,221.90,9
9443,215.94,-373.40,3200,10004,381.88,10
2251,192.33,220.25,3200,10002,248.35,9
9441,402.95,-407.13,3200,10004,564.31,11
2254,234.81,7.12,3200,10003,226.75,9
2256,181.90,185.89,3200,10002,280.16,10
2258,137.20,-95.14,3200,10003,160.21,9
8590,-40.98,458.47,3200,10003,733.25,11
2355,-173.23,-379.81,3200,10004,58.86,7
2337,168.65,-416.22,3200,10003,208.52,9
9425,153.37,230.84,3200,10004,738.21,11
2339,241.09,-167.49,3200,10003,52.20,7
2341,248.61,-360.64,3200,10003,141.43,9
2342,478.51,280.95,3200,10002,153.46,9
2343,-253.20,-160.38,3200,10001,166.84,9
5522,488.32,-477.18,3200,10003,359.12,10
5520,36.56,392.75,3200,10002,335.58,10
8622,88.77,-327.73,3200,10003,184.34,9
