GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.53,174,44,Max. coverage
Springs,EDF,Uniform,Medium,1000,10000,0.01,12,7,7,0,100.00,0.38,562,99,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,8,85,15,0,100.00,0.05,461,6,Max. coverage
Springs,EDF,Uniform,Soft,1000,50000,0.05,12,11,11,0,100.00,0.62,7469,109,Max. coverage
Springs,EDF,Uniform,Hard,1000,50000,0.05,7,157,9,0,100.00,0.10,202476,710,Max. coverage
Springs,EDF,Clouds,Soft,1000,10000,0.01,12,3,3,0,100.00,0.58,107,34,Max. coverage
Springs,EDF,Clouds,Hard,1000,10000,0.01,8,29,7,0,100.00,0.15,6612,166,Max. coverage
Springs,EDF,Clouds,Soft,1000,50000,0.05,12,7,7,0,100.00,0.81,3348,69,Max. coverage
Springs,EDF,Clouds,Hard,1000,50000,0.05,7,169,15,0,99.75,0.09,1000307,1527,Timeout
Springs,None,Uniform,Soft,1000,10000,0.01,12,4,4,0,100.00,0.46,2445,1000,Max. coverage
Greedy,None,Uniform,Soft,1000,10000,0.01,12,6,6,0,100.00,0.23,10250,0,Max. iterations
GA Opt.,None,Uniform,Soft,1000,10000,0.01,12,5,5,0,100.00,0.40,3226,0,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,28,10,0,81.08,0.30,16818,0,Max. iterations
GA Opt.,None,Uniform,Hard,1000,20000,0.02,12,30,11,0,84.27,0.28,16420,990,Max. iterations
GA Opt.,None,Uniform,Medium,1000,10000,0.01,12,11,11,0,100.00,0.22,4984,840,Max. iterations
GA Opt.,None,Uniform,Medium,1000,10000,0.01,12,9,9,0,100.00,0.28,4417,630,Max. iterations
Springs,EDF,Uniform,Medium,1000,10000,0.01,12,7,7,0,100.00,0.36,756,110,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,10000,0.01,12,8,8,0,100.00,0.31,780,111,Max. coverage
Springs (Cont.),EDF,Uniform,Medium,1000,10000,0.01,12,8,8,0,100.00,0.34,825,118,Max. coverage
